tag,mapping,alignment_class,step,phase,aic_query_path,op_name,latency_ms,per_layer_latency_ms,step_count,weighted_latency_ms,energy_wms,source,query_batch_size,query_s,query_prefix,query_error,steps_to_finish_ctx,mix_ctx_tokens,mix_gen_tokens,genonly_tokens,mix_first_pass_batch_size,mix_first_pass_isl,mix_first_pass_prefix,mix_context_second_pass_batch_size,mix_context_second_pass_isl,mix_context_second_pass_prefix,generation_lookup_s
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_downscale_gemm,1.4739991310674014,0.24566652184456692,2.0,2.947998262134803,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,2,1,8193,0,1,8192,0,8201
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_q_b_proj_gemm,2.9299269231702842,0.48832115386171404,2.0,5.8598538463405685,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,2,1,8193,0,1,8192,0,8201
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_kv_b_proj_gemm,1.861438869695549,0.31023981161592484,2.0,3.722877739391098,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,2,1,8193,0,1,8192,0,8201
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_mla_concat_k,1.413683369779028,0.23561389496317134,2.0,2.827366739558056,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,2,1,8193,0,1,8192,0,8201
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_proj_gemm,9.132011401699856,1.5220019002833094,2.0,18.264022803399712,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,2,1,8193,0,1,8192,0,8201
agg_aic_p0_chunk_b9_isl8192_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops_attention_second_pass,context_attention,22.38909072875977,3.7315151214599616,2.0,44.77818145751954,0.0,silicon,1.0,8192.0,0.0,,2,8192,1,2,1,8193,0,1,8192,0,8201
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,run_agg_snapshot_block,context_mla_block,39.20868953677592,6.5347815894626535,2.0,78.41737907355184,0.0,persisted_run_agg_csv,,,,,2,8192,1,9,1,8193,0,8,1024,0,1033
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_downscale_gemm,1.4739991310674014,0.24566652184456692,2.0,2.947998262134803,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,9,1,8193,0,8,1024,0,1033
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_q_b_proj_gemm,2.9299269231702842,0.48832115386171404,2.0,5.8598538463405685,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,9,1,8193,0,8,1024,0,1033
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_kv_b_proj_gemm,1.861438869695549,0.31023981161592484,2.0,3.722877739391098,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,9,1,8193,0,8,1024,0,1033
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_mla_concat_k,1.413683369779028,0.23561389496317134,2.0,2.827366739558056,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,9,1,8193,0,8,1024,0,1033
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_proj_gemm,9.132011401699856,1.5220019002833094,2.0,18.264022803399712,0.0,silicon,1.0,8193.0,0.0,,2,8192,1,9,1,8193,0,8,1024,0,1033
agg_aic_p0_dense_b36_isl1024_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops_attention_second_pass,context_attention,6.006422424316406,1.0010704040527343,2.0,12.012844848632811,0.0,silicon,8.0,1024.0,0.0,,2,8192,1,9,1,8193,0,8,1024,0,1033
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,run_agg_snapshot_block,context_mla_block,39.25132491162699,6.541887485271165,2.0,78.50264982325398,0.0,persisted_run_agg_csv,,,,,2,8192,5,21,1,8197,0,16,512,0,521
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_downscale_gemm,1.4746391902485478,0.24577319837475797,2.0,2.9492783804970957,0.0,silicon,1.0,8197.0,0.0,,2,8192,5,21,1,8197,0,16,512,0,521
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_q_b_proj_gemm,2.931333702956966,0.4885556171594943,2.0,5.862667405913932,0.0,silicon,1.0,8197.0,0.0,,2,8192,5,21,1,8197,0,16,512,0,521
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_kv_b_proj_gemm,1.8622791940767511,0.3103798656794585,2.0,3.7245583881535023,0.0,silicon,1.0,8197.0,0.0,,2,8192,5,21,1,8197,0,16,512,0,521
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_mla_concat_k,1.4143625886412337,0.23572709810687228,2.0,2.8287251772824673,0.0,silicon,1.0,8197.0,0.0,,2,8192,5,21,1,8197,0,16,512,0,521
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_proj_gemm,9.136962831253186,1.5228271385421976,2.0,18.27392566250637,0.0,silicon,1.0,8197.0,0.0,,2,8192,5,21,1,8197,0,16,512,0,521
agg_aic_p0_dense_prefill_b40_isl512_ctx4096,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops_attention_second_pass,context_attention,5.029680061340333,0.8382800102233888,2.0,10.059360122680665,0.0,silicon,16.0,512.0,0.0,,2,8192,5,21,1,8197,0,16,512,0,521
agg_aic_p0_longctx_b8_isl4096_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,run_agg_snapshot_block,context_mla_block,39.219354211687474,6.536559035281246,2.0,78.43870842337495,0.0,persisted_run_agg_csv,,,,,2,8192,2,4,1,8194,0,2,4096,0,4105
agg_aic_p0_longctx_b8_isl4096_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_downscale_gemm,1.474159145862688,0.24569319097711464,2.0,2.948318291725376,0.0,silicon,1.0,8194.0,0.0,,2,8192,2,4,1,8194,0,2,4096,0,4105
agg_aic_p0_longctx_b8_isl4096_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_q_b_proj_gemm,2.9302786181169544,0.4883797696861591,2.0,5.860557236233909,0.0,silicon,1.0,8194.0,0.0,,2,8192,2,4,1,8194,0,2,4096,0,4105
agg_aic_p0_longctx_b8_isl4096_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_kv_b_proj_gemm,1.8616489507908496,0.31027482513180826,2.0,3.723297901581699,0.0,silicon,1.0,8194.0,0.0,,2,8192,2,4,1,8194,0,2,4096,0,4105
agg_aic_p0_longctx_b8_isl4096_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_mla_concat_k,1.4138531744945793,0.23564219574909653,2.0,2.8277063489891585,0.0,silicon,1.0,8194.0,0.0,,2,8192,2,4,1,8194,0,2,4096,0,4105
agg_aic_p0_longctx_b8_isl4096_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops,context_proj_gemm,9.133249259088188,1.5222082098480314,2.0,18.266498518176377,0.0,silicon,1.0,8194.0,0.0,,2,8192,2,4,1,8194,0,2,4096,0,4105
agg_aic_p0_longctx_b8_isl4096_ctx8192,observed_first_batch,strict_prefix0,mix_step,context,diagnostic_forced_prefix_ops_attention_second_pass,context_attention,12.72263946533203,2.120439910888672,2.0,25.44527893066406,0.0,silicon,2.0,4096.0,0.0,,2,8192,2,4,1,8194,0,2,4096,0,4105
agg_aic_prefix_probe_b12_isl1024_prefix512_ctx4096,observed_first_batch,prefix_probe,mix_step,context,run_agg_snapshot_block,context_mla_block,21.214548894424283,3.535758149070714,2.0,42.429097788848566,0.0,persisted_run_agg_csv,,,,,2,5120,3,8,1,5123,0,5,1024,0,1033
agg_aic_prefix_probe_b12_isl1024_prefix512_ctx4096,observed_first_batch,prefix_probe,mix_step,context,diagnostic_forced_prefix_ops,context_downscale_gemm,1.0120848677128924,0.16868081128548207,2.0,2.024169735425785,0.0,silicon,1.0,5123.0,0.0,,2,5120,3,8,1,5123,0,5,1024,0,1033
