tag,real_component,real_layer_count,real_gpu_makespan_ms,real_gpu_kernel_time_sum_ms,real_host_duration_ms,real_first_kernel_name,real_last_kernel_name
agg_aic_prefix_probe_b12_isl1024_prefix512_ctx4096,q_b_proj,5,0.131603,0.13025899999999999,0.23038599999999998,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_prefix_probe_b12_isl1024_prefix512_ctx4096,rotary_emb,5,0.026739199999999998,0.026739199999999998,0.09693460000000001,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel
agg_aic_prefix_probe_b12_isl4096_prefix2048_ctx8192,attn_mha,5,2.4719740000000003,2.4719100000000003,0.1401462,prepare_varlen_num_blocks_kernel,device_kernel
agg_aic_prefix_probe_b12_isl4096_prefix2048_ctx8192,fused_qkv_a_proj_with_mqa,5,0.14743040000000002,0.1454016,0.24502220000000002,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_prefix_probe_b12_isl4096_prefix2048_ctx8192,kv_a_layernorm,5,0.0082624,0.0082624,0.041896,RMSNormKernel,RMSNormKernel
agg_aic_prefix_probe_b12_isl4096_prefix2048_ctx8192,kv_b_proj,5,1.8846973999999999,1.8830014,0.2310552,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_prefix_probe_b12_isl4096_prefix2048_ctx8192,o_proj,5,0.7117114,0.7102586,0.2302384,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_prefix_probe_b12_isl4096_prefix2048_ctx8192,q_a_layernorm,5,0.0093248,0.0093248,0.0454614,RMSNormKernel,RMSNormKernel
agg_aic_prefix_probe_b12_isl4096_prefix2048_ctx8192,q_b_proj,5,0.2360704,0.2346304,0.21080459999999998,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_prefix_probe_b12_isl4096_prefix2048_ctx8192,rotary_emb,5,0.0526656,0.0526656,0.0739966,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel
agg_aic_prefix_probe_b24_isl1280_prefix1024_ctx10240,attn_mha,5,0.9579889999999999,0.9579314,0.146439,prepare_varlen_num_blocks_kernel,device_kernel
agg_aic_prefix_probe_b24_isl1280_prefix1024_ctx10240,fused_qkv_a_proj_with_mqa,5,0.0816574,0.0801086,0.2449282,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_prefix_probe_b24_isl1280_prefix1024_ctx10240,kv_a_layernorm,5,0.005216,0.005216,0.0409174,RMSNormKernel,RMSNormKernel
agg_aic_prefix_probe_b24_isl1280_prefix1024_ctx10240,kv_b_proj,5,1.152171,1.150475,0.254625,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_prefix_probe_b24_isl1280_prefix1024_ctx10240,o_proj,5,0.378905,0.376857,0.232366,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_prefix_probe_b24_isl1280_prefix1024_ctx10240,q_a_layernorm,5,0.005728,0.005728,0.0453926,RMSNormKernel,RMSNormKernel
agg_aic_prefix_probe_b24_isl1280_prefix1024_ctx10240,q_b_proj,5,0.13246059999999998,0.1307198,0.2059168,per_token_group_quant_8bit_kernel,sm90_fp8_gemm_1d2d_impl
agg_aic_prefix_probe_b24_isl1280_prefix1024_ctx10240,rotary_emb,5,0.0263232,0.0263232,0.0768582,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel
