framework,version,device,op_name,kernel_source,model,task,attn_kind,backend,requested_backend,batch_size,q_seq_len,kv_seq_len,num_heads,head_dim,tp_size,sp_size,sp_algorithm,latency
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,71280,512,5,128,8,1,none,0.16444159746170045
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,71280,257,5,128,8,1,none,0.12134079933166504
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,35640,512,5,128,8,2,ring,0.08611840009689331
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,35640,257,5,128,8,2,ring,0.06550080180168152
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,self_attn,fa,auto,1,17820,17820,5,128,8,4,ring,1.1658207893371582
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,17820,512,5,128,8,4,ring,0.0510047972202301
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,17820,257,5,128,8,4,ring,0.03952319920063019
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,self_attn,fa,auto,1,8910,8910,5,128,8,8,ring,0.29728639125823975
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,8910,512,5,128,8,8,ring,0.028748801350593566
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,8910,257,5,128,8,8,ring,0.024076800048351287
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,43120,512,10,128,1,4,ulysses,0.19272639751434326
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,43120,257,10,128,1,4,ulysses,0.1443168044090271
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,10780,512,40,128,1,4,ring,0.19394880533218384
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,10780,257,40,128,1,4,ring,0.14470080137252808
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,43120,512,5,128,1,8,ulysses,0.10035840272903443
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,43120,257,5,128,1,8,ulysses,0.0759872019290924
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,self_attn,fa,auto,1,5390,5390,40,128,1,8,ring,0.8275839805603027
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,fa,auto,1,5390,512,40,128,1,8,ring,0.10682879686355591
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sglang_fa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,fa,auto,1,5390,257,40,128,1,8,ring,0.08060479760169983
