framework,version,device,op_name,kernel_source,batch_size,seq_len,num_heads,head_dim,tp_size,sp_size,sp_algorithm,latency
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5390,10,128,4,8,ring,0.01714559942483902
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,43120,5,128,8,1,none,0.08860160112380981
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,21560,5,128,8,2,ring,0.048147198557853696
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,10780,5,128,8,4,ring,0.018160000443458557
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5390,5,128,8,8,ring,0.010294400155544281
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,40,128,1,1,none,0.6919104099273682
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,20,128,1,2,ulysses,0.35139200687408445
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,23595,40,128,1,2,ring,0.35561599731445315
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,10,128,1,4,ulysses,0.18085440397262573
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,11798,40,128,1,4,ring,0.17805440425872804
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,5,128,1,8,ulysses,0.09619200229644775
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5899,40,128,1,8,ring,0.09112640023231507
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,20,128,2,1,none,0.3516319990158081
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,10,128,2,2,ulysses,0.1809440016746521
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,23595,20,128,2,2,ring,0.1820512056350708
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,5,128,2,4,ulysses,0.09615359902381897
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,11798,20,128,2,4,ring,0.09150400161743164
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5899,20,128,2,8,ring,0.048172798752784726
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,10,128,4,1,none,0.1807520031929016
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,5,128,4,2,ulysses,0.09616000056266785
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,23595,10,128,4,2,ring,0.09503039717674255
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,11798,10,128,4,4,ring,0.04826239943504333
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5899,10,128,4,8,ring,0.018492799997329713
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,47190,5,128,8,1,none,0.09630079865455628
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,23595,5,128,8,2,ring,0.051520001888275144
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,11798,5,128,8,4,ring,0.02134400010108948
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,5899,5,128,8,8,ring,0.010761599987745285
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,40,128,1,1,none,0.46548800468444823
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,20,128,1,2,ulysses,0.23799679279327393
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,15795,40,128,1,2,ring,0.24435200691223144
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,10,128,1,4,ulysses,0.12368960380554199
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,7898,40,128,1,4,ring,0.11904640197753906
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,5,128,1,8,ulysses,0.06607040166854858
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,3949,40,128,1,8,ring,0.062140798568725585
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,20,128,2,1,none,0.2387295961380005
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,10,128,2,2,ulysses,0.12297919988632203
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,15795,20,128,2,2,ring,0.1261504054069519
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,31590,5,128,2,4,ulysses,0.06661440134048462
