framework,version,device,op_name,kernel_source,model,task,attn_kind,backend,batch_size,q_seq_len,kv_seq_len,num_heads,head_dim,tp_size,sp_size,sp_algorithm,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,11798,512,40,128,1,4,ring,0.39009919166564944
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,47190,512,5,128,1,8,ulysses,0.2040800094604492
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,5899,512,40,128,1,8,ring,0.21757760047912597
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,47190,512,10,128,2,2,ulysses,0.39014079570770266
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,23595,512,20,128,2,2,ring,0.3949951887130737
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,47190,512,5,128,2,4,ulysses,0.20160319805145263
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,self_attn,sdpa,1,5899,5899,40,128,1,8,ring,2.0609504699707033
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,11798,512,20,128,2,4,ring,0.21200959682464598
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,5899,512,20,128,2,8,ring,0.11939200162887573
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,47190,512,10,128,4,1,none,0.38774399757385253
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,self_attn,sdpa,1,5899,5899,20,128,2,8,ring,1.1039615631103517
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,47190,512,5,128,4,2,ulysses,0.20008959770202636
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,23595,512,10,128,4,2,ring,0.2055743932723999
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,11798,512,10,128,4,4,ring,0.11599680185317993
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,self_attn,sdpa,1,5899,5899,10,128,4,8,ring,0.558403205871582
SGLang,0.5.10,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-T2V-A14B,t2v,cross_attn_text,sdpa,1,5899,512,10,128,4,8,ring,0.058064001798629764
