model_key,system,case_id,series,model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__standard,ANALYTICAL-standard,deepseek-ai/DeepSeek-V3,4096,1024,0,32,1.011,1,8,1,1,32,1,2800.611,28.454,31909.053,1.011,0.016,1035.346,16.177,35.144,5.142,1.099,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,1,1,32,1,32,tp1pp1dp32etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,74.478,sglang,0.5.10,a100_sxm,0.0,16.177
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__standard,ANALYTICAL-standard,deepseek-ai/DeepSeek-V3,4096,1024,0,12,0.499,1,8,1,3,12,1,2800.611,21.639,24937.308,0.499,0.008,510.607,7.978,46.214,5.142,0.542,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,8,1,4,1,32,tp8pp1dp4etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,58.434,sglang,0.5.10,a100_sxm,0.0,7.978
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__standard,ANALYTICAL-standard,deepseek-ai/DeepSeek-V3,4096,1024,0,8,0.435,1,8,1,1,8,1,2800.611,16.522,19702.617,0.435,0.007,445.604,6.963,60.526,5.142,0.473,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,60.206,sglang,0.5.10,a100_sxm,0.0,6.963
deepseek_v3,a100_sxm,deepseek_v3__a100_sxm__analytical__standard,ANALYTICAL-standard,deepseek-ai/DeepSeek-V3,4096,1024,0,4,0.298,1,8,1,1,4,1,2800.611,12.061,15139.014,0.298,0.005,305.234,4.769,82.914,5.142,0.324,64,4,1,8,1,32,tp4pp1dp8etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,62.579,sglang,0.5.10,a100_sxm,8,1,4,1,32,tp8pp1dp4etp1ep32,bfloat16,bfloat16,bfloat16,bfloat16,half,57.764,sglang,0.5.10,a100_sxm,0.0,4.769
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,672,15.153,1,8,1,84,672,1,855.277,39.782,41552.263,15.153,0.947,15516.979,969.811,25.137,16.837,16.512,16,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,108.87,sglang,0.5.10,b200_sxm,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,129.404,sglang,0.5.10,b200_sxm,0.0,969.811
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,640,14.6,1,8,1,80,640,1,855.277,39.421,41182.96,14.6,0.913,14950.81,934.426,25.367,16.837,15.87,16,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,108.87,sglang,0.5.10,b200_sxm,1,1,8,2,4,tp1pp1dp8etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,128.087,sglang,0.5.10,b200_sxm,0.0,934.426
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,544,12.453,1,8,1,68,544,1,855.277,39.286,41044.855,12.453,0.778,12751.995,797.0,25.454,16.837,13.536,16,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,108.87,sglang,0.5.10,b200_sxm,1,1,8,8,1,tp1pp1dp8etp8ep1,fp8,bfloat16,bfloat16,fp8_block,half,124.433,sglang,0.5.10,b200_sxm,0.0,797.0
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,480,12.44,1,8,1,60,480,1,855.277,34.699,36352.354,12.44,0.778,12738.806,796.175,28.819,16.837,13.522,16,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,108.87,sglang,0.5.10,b200_sxm,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,121.362,sglang,0.5.10,b200_sxm,0.0,796.175
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,448,11.783,1,8,1,56,448,1,855.277,34.192,35833.693,11.783,0.736,12066.161,754.135,29.246,16.837,12.808,16,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,108.87,sglang,0.5.10,b200_sxm,1,1,8,2,4,tp1pp1dp8etp2ep4,fp8,bfloat16,bfloat16,fp8_block,half,120.021,sglang,0.5.10,b200_sxm,0.0,754.135
deepseek_v3,b200_sxm,deepseek_v3__b200_sxm__analytical__high,ANALYTICAL-high,deepseek-ai/DeepSeek-V3,4096,1024,0,512,15.153,1,8,1,32,256,2,855.277,29.351,30881.35,15.153,0.631,15516.979,646.541,34.071,16.837,8.526,24,1,1,8,1,8,tp1pp1dp8etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,108.87,sglang,0.5.10,b200_sxm,1,1,8,4,2,tp1pp1dp8etp4ep2,fp8,bfloat16,bfloat16,fp8_block,half,111.979,sglang,0.5.10,b200_sxm,0.0,484.90575
