case_id,model_key,model_path,system,mode,analytical_level,backend,backend_version,serving_mode,isl,osl,total_gpus,status,pareto_points,best_tokens_per_s_gpu,best_cluster_request_rate,elapsed_s,series,error_type,error
llama31_70b__b300_sxm__analytical__high,llama31_70b,meta-llama/Meta-Llama-3.1-70B,b300_sxm,ANALYTICAL,high,sglang,0.5.10,disagg,4096,1024,32,success,67.0,646.267,20.034,5.96270751953125,ANALYTICAL-high,,
llama31_70b__b300_sxm__analytical__low,llama31_70b,meta-llama/Meta-Llama-3.1-70B,b300_sxm,ANALYTICAL,low,sglang,0.5.10,disagg,4096,1024,32,success,59.0,1084.954,29.667,6.104515552520752,ANALYTICAL-low,,
llama31_70b__b300_sxm__analytical__standard,llama31_70b,meta-llama/Meta-Llama-3.1-70B,b300_sxm,ANALYTICAL,standard,sglang,0.5.10,disagg,4096,1024,32,success,62.0,881.551,25.868,6.012701511383057,ANALYTICAL-standard,,
llama31_70b__b300_sxm__silicon,llama31_70b,meta-llama/Meta-Llama-3.1-70B,b300_sxm,SILICON,,sglang,0.5.10,disagg,4096,1024,32,success,53.0,947.144,29.598,8.205541133880615,SILICON,,
llama31_70b__h100_sxm__analytical__high,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h100_sxm,ANALYTICAL,high,sglang,0.5.10,disagg,4096,1024,32,success,27.0,245.491,7.309,4.328122615814209,ANALYTICAL-high,,
llama31_70b__h100_sxm__analytical__low,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h100_sxm,ANALYTICAL,low,sglang,0.5.10,disagg,4096,1024,32,success,26.0,358.226,9.998,4.2821619510650635,ANALYTICAL-low,,
llama31_70b__h100_sxm__analytical__standard,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h100_sxm,ANALYTICAL,standard,sglang,0.5.10,disagg,4096,1024,32,success,26.0,291.338,9.007,4.1262030601501465,ANALYTICAL-standard,,
llama31_70b__h100_sxm__silicon,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h100_sxm,SILICON,,sglang,0.5.10,disagg,4096,1024,32,success,24.0,357.99,8.39,5.290562868118286,SILICON,,
llama31_70b__h200_sxm__analytical__high,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h200_sxm,ANALYTICAL,high,sglang,0.5.10,disagg,4096,1024,32,success,51.0,329.011,9.994,5.140242099761963,ANALYTICAL-high,,
llama31_70b__h200_sxm__analytical__low,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h200_sxm,ANALYTICAL,low,sglang,0.5.10,disagg,4096,1024,32,success,45.0,475.574,14.862,4.978677034378052,ANALYTICAL-low,,
llama31_70b__h200_sxm__analytical__standard,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h200_sxm,ANALYTICAL,standard,sglang,0.5.10,disagg,4096,1024,32,success,47.0,421.747,13.18,4.974137783050537,ANALYTICAL-standard,,
llama31_70b__h200_sxm__silicon,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h200_sxm,SILICON,,sglang,0.5.10,disagg,4096,1024,32,success,38.0,477.36,14.918,6.62155818939209,SILICON,,
llama31_70b__rtx_pro_6000_server__analytical__high,llama31_70b,meta-llama/Meta-Llama-3.1-70B,rtx_pro_6000_server,ANALYTICAL,high,sglang,0.5.10,disagg,4096,1024,32,success,63.0,105.754,2.823,5.329583168029785,ANALYTICAL-high,,
llama31_70b__rtx_pro_6000_server__analytical__low,llama31_70b,meta-llama/Meta-Llama-3.1-70B,rtx_pro_6000_server,ANALYTICAL,low,sglang,0.5.10,disagg,4096,1024,32,success,48.0,141.626,4.364,5.35255765914917,ANALYTICAL-low,,
llama31_70b__rtx_pro_6000_server__analytical__standard,llama31_70b,meta-llama/Meta-Llama-3.1-70B,rtx_pro_6000_server,ANALYTICAL,standard,sglang,0.5.10,disagg,4096,1024,32,success,53.0,121.306,3.704,5.372631072998047,ANALYTICAL-standard,,
llama31_70b__rtx_pro_6000_server__silicon,llama31_70b,meta-llama/Meta-Llama-3.1-70B,rtx_pro_6000_server,SILICON,,sglang,0.5.10,disagg,4096,1024,32,success,55.0,101.779,2.53,6.543092489242554,SILICON,,
qwen3_32b__a100_sxm__analytical__high,qwen3_32b,Qwen/Qwen3-32B,a100_sxm,ANALYTICAL,high,sglang,0.5.10,disagg,4096,1024,32,success,64.0,224.922,5.616,3.1846327781677246,ANALYTICAL-high,,
qwen3_32b__a100_sxm__analytical__low,qwen3_32b,Qwen/Qwen3-32B,a100_sxm,ANALYTICAL,low,sglang,0.5.10,disagg,4096,1024,32,success,52.0,342.259,10.527,2.9795114994049072,ANALYTICAL-low,,
qwen3_32b__a100_sxm__analytical__standard,qwen3_32b,Qwen/Qwen3-32B,a100_sxm,ANALYTICAL,standard,sglang,0.5.10,disagg,4096,1024,32,success,55.0,303.782,7.12,2.9268996715545654,ANALYTICAL-standard,,
qwen3_32b__a100_sxm__silicon,qwen3_32b,Qwen/Qwen3-32B,a100_sxm,SILICON,,sglang,0.5.10,disagg,4096,1024,32,success,52.0,276.265,7.006,3.5348458290100098,SILICON,,
qwen3_32b__b200_sxm__analytical__high,qwen3_32b,Qwen/Qwen3-32B,b200_sxm,ANALYTICAL,high,sglang,0.5.10,disagg,4096,1024,32,success,68.0,1108.71,31.749,7.446800708770752,ANALYTICAL-high,,
qwen3_32b__b200_sxm__analytical__low,qwen3_32b,Qwen/Qwen3-32B,b200_sxm,ANALYTICAL,low,sglang,0.5.10,disagg,4096,1024,32,success,67.0,1806.941,56.467,7.090546607971191,ANALYTICAL-low,,
qwen3_32b__b200_sxm__analytical__standard,qwen3_32b,Qwen/Qwen3-32B,b200_sxm,ANALYTICAL,standard,sglang,0.5.10,disagg,4096,1024,32,success,67.0,1476.48,42.481,7.136837005615234,ANALYTICAL-standard,,
qwen3_32b__b200_sxm__silicon,qwen3_32b,Qwen/Qwen3-32B,b200_sxm,SILICON,,sglang,0.5.10,disagg,4096,1024,32,success,59.0,1595.295,49.853,4.881180763244629,SILICON,,
qwen3_32b__b300_sxm__analytical__high,qwen3_32b,Qwen/Qwen3-32B,b300_sxm,ANALYTICAL,high,sglang,0.5.10,disagg,4096,1024,32,success,81.0,1124.928,31.621,6.23325514793396,ANALYTICAL-high,,
qwen3_32b__b300_sxm__analytical__low,qwen3_32b,Qwen/Qwen3-32B,b300_sxm,ANALYTICAL,low,sglang,0.5.10,disagg,4096,1024,32,success,72.0,1858.194,58.069,6.23301100730896,ANALYTICAL-low,,
qwen3_32b__b300_sxm__analytical__standard,qwen3_32b,Qwen/Qwen3-32B,b300_sxm,ANALYTICAL,standard,sglang,0.5.10,disagg,4096,1024,32,success,74.0,1542.845,48.214,6.1692955493927,ANALYTICAL-standard,,
qwen3_32b__b300_sxm__silicon,qwen3_32b,Qwen/Qwen3-32B,b300_sxm,SILICON,,sglang,0.5.10,disagg,4096,1024,32,success,67.0,1827.694,52.372,4.968575954437256,SILICON,,
qwen3_32b__h100_sxm__analytical__high,qwen3_32b,Qwen/Qwen3-32B,h100_sxm,ANALYTICAL,high,sglang,0.5.10,disagg,4096,1024,32,success,49.0,456.019,14.251,4.781598091125488,ANALYTICAL-high,,
qwen3_32b__h100_sxm__analytical__low,qwen3_32b,Qwen/Qwen3-32B,h100_sxm,ANALYTICAL,low,sglang,0.5.10,disagg,4096,1024,32,success,49.0,686.131,19.707,4.831850528717041,ANALYTICAL-low,,
qwen3_32b__h100_sxm__analytical__standard,qwen3_32b,Qwen/Qwen3-32B,h100_sxm,ANALYTICAL,standard,sglang,0.5.10,disagg,4096,1024,32,success,49.0,564.768,17.649,4.850017786026001,ANALYTICAL-standard,,
qwen3_32b__h100_sxm__silicon,qwen3_32b,Qwen/Qwen3-32B,h100_sxm,SILICON,,sglang,0.5.10,disagg,4096,1024,32,success,42.0,671.114,18.314,3.2051472663879395,SILICON,,
qwen3_32b__h200_sxm__analytical__high,qwen3_32b,Qwen/Qwen3-32B,h200_sxm,ANALYTICAL,high,sglang,0.5.10,disagg,4096,1024,32,success,72.0,620.544,16.963,5.445788621902466,ANALYTICAL-high,,
qwen3_32b__h200_sxm__analytical__low,qwen3_32b,Qwen/Qwen3-32B,h200_sxm,ANALYTICAL,low,sglang,0.5.10,disagg,4096,1024,32,success,63.0,952.157,29.755,5.149983644485474,ANALYTICAL-low,,
qwen3_32b__h200_sxm__analytical__standard,qwen3_32b,Qwen/Qwen3-32B,h200_sxm,ANALYTICAL,standard,sglang,0.5.10,disagg,4096,1024,32,success,64.0,831.709,25.991,5.490614891052246,ANALYTICAL-standard,,
qwen3_32b__h200_sxm__silicon,qwen3_32b,Qwen/Qwen3-32B,h200_sxm,SILICON,,sglang,0.5.10,disagg,4096,1024,32,success,51.0,887.962,24.28,4.560973644256592,SILICON,,
qwen3_32b__rtx_pro_6000_server__analytical__high,qwen3_32b,Qwen/Qwen3-32B,rtx_pro_6000_server,ANALYTICAL,high,sglang,0.5.10,disagg,4096,1024,32,success,86.0,231.398,6.147,5.801311254501343,ANALYTICAL-high,,
qwen3_32b__rtx_pro_6000_server__analytical__low,qwen3_32b,Qwen/Qwen3-32B,rtx_pro_6000_server,ANALYTICAL,low,sglang,0.5.10,disagg,4096,1024,32,success,68.0,361.344,8.469,5.85695481300354,ANALYTICAL-low,,
qwen3_32b__rtx_pro_6000_server__analytical__standard,qwen3_32b,Qwen/Qwen3-32B,rtx_pro_6000_server,ANALYTICAL,standard,sglang,0.5.10,disagg,4096,1024,32,success,75.0,293.458,7.145,5.869717836380005,ANALYTICAL-standard,,
qwen3_32b__rtx_pro_6000_server__silicon,qwen3_32b,Qwen/Qwen3-32B,rtx_pro_6000_server,SILICON,,sglang,0.5.10,disagg,4096,1024,32,success,74.0,236.275,7.384,3.916922092437744,SILICON,,
