model_key,system,case_id,series,model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
deepseek_v3,rtx_pro_6000_server,deepseek_v3__rtx_pro_6000_server__analytical__low,ANALYTICAL-low,deepseek-ai/DeepSeek-V3,4096,1024,0,54,1.267,1,1,1,18,18,3,971.444,38.314,40166.666,1.267,0.04,1297.244,40.539,26.1,1.853,0.459,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,95.423,sglang,0.5.10,rtx_pro_6000_server,0.0,40.539
deepseek_v3,rtx_pro_6000_server,deepseek_v3__rtx_pro_6000_server__analytical__standard,ANALYTICAL-standard,deepseek-ai/DeepSeek-V3,4096,1024,0,54,0.922,1,1,1,18,18,3,1081.055,52.668,54960.419,0.922,0.029,943.964,29.499,18.987,1.665,0.334,32,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,91.596,sglang,0.5.10,rtx_pro_6000_server,8,1,1,1,8,tp8pp1dp1etp1ep8,fp8,bfloat16,bfloat16,fp8_block,half,95.423,sglang,0.5.10,rtx_pro_6000_server,0.0,29.499
llama31_70b,a100_sxm,llama31_70b__a100_sxm__analytical__high,ANALYTICAL-high,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,96,0.928,1,1,1,96,96,1,1735.11,92.994,96867.972,0.928,0.116,950.559,118.82,10.753,1.037,1.009,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,75.037,sglang,0.5.10,a100_sxm,0.0,118.82
llama31_70b,a100_sxm,llama31_70b__a100_sxm__analytical__low,ANALYTICAL-low,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,76,1.315,1,1,1,76,76,1,1231.765,49.733,52108.624,1.315,0.164,1346.458,168.307,20.107,1.461,1.494,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,67.225,sglang,0.5.10,a100_sxm,0.0,168.307
llama31_70b,a100_sxm,llama31_70b__a100_sxm__analytical__standard,ANALYTICAL-standard,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,84,1.173,1,1,1,84,84,1,1376.381,64.377,67234.052,1.173,0.147,1201.152,150.144,15.533,1.308,1.275,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,70.35,sglang,0.5.10,a100_sxm,0.0,150.144
llama31_70b,a100_sxm,llama31_70b__a100_sxm__silicon,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,108,1.133,1,1,1,108,108,1,1430.12,83.323,86669.549,1.133,0.142,1160.294,145.037,12.002,1.259,1.267,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,79.725,sglang,0.5.10,a100_sxm,0.0,145.037
llama31_70b,b200_sxm,llama31_70b__b200_sxm__analytical__high,ANALYTICAL-high,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,304,4.961,1,1,1,304,304,1,326.587,53.935,55502.092,4.961,0.62,5079.859,634.982,18.541,5.512,5.51,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,b200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,156.287,sglang,0.5.10,b200_sxm,0.0,634.982
llama31_70b,b200_sxm,llama31_70b__b200_sxm__analytical__low,ANALYTICAL-low,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,1008,29.805,1,1,7,112,112,9,380.471,29.556,30616.259,29.805,0.931,30520.627,953.77,33.834,4.731,3.704,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,b200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,157.842,sglang,0.5.10,b200_sxm,0.0,953.77
llama31_70b,b200_sxm,llama31_70b__b200_sxm__analytical__standard,ANALYTICAL-standard,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,1152,25.988,1,1,7,128,128,9,436.41,39.752,41102.706,25.988,0.812,26611.2,831.6,25.156,4.125,3.148,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,b200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,170.342,sglang,0.5.10,b200_sxm,0.0,831.6
llama31_70b,b200_sxm,llama31_70b__b200_sxm__silicon,SILICON,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,160,5.722,1,1,1,160,160,1,283.111,24.824,25678.063,5.722,0.715,5859.533,732.442,40.284,6.358,6.3,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,b200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,100.037,sglang,0.5.10,b200_sxm,0.0,732.442
