framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency,ops,mem_bytes,intensity_op,intensity_hw,rel_ratio,sol_math,sol_mem,mfu,mbu
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,128,1024,1,1,7,0.0818826655546824,2281701376,293470208,7.774899508709245,312.5,0.024879678427869582,0.0009126805504,0.036683775999999994,0.011146199799645005,0.44800417465039716
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,64,1024,1,2,7,0.082255999247233,1140850688,146735104,7.774899508709245,625.0,0.012439839213934791,0.0002281701376,0.018341887999999997,0.002773902690236608,0.22298541343921488
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,64,1024,1,2,7,0.0599626650412877,1140850688,150863872,7.562119895742832,312.5,0.024198783666377063,0.0004563402752,0.018857984,0.00761040682374247,0.314495427896929
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,32,1024,1,4,7,0.0828800002733866,570425344,75431936,7.562119895742832,625.0,0.012099391833188531,0.0001140850688,0.009428992,0.001376509030208505,0.1137667949915261
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,32,1024,1,4,7,0.0912479956944783,570425344,79560704,7.169686985172982,312.5,0.02294299835255354,0.0002281701376,0.009945088,0.0025005495831817736,0.1089896597104303
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,16,1024,1,8,7,0.0461066663265228,285212672,39780352,7.169686985172982,625.0,0.01147149917627677,5.70425344e-05,0.004972544,0.001237186267079699,0.10784869946538621
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,16,1024,1,8,7,0.0539040019114812,285212672,43909120,6.495522388059701,312.5,0.020785671641791043,0.0001140850688,0.0054886399999999995,0.002116448960270993,0.10182249564722864
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,8,1024,1,16,7,0.0374933332204818,142606336,21954560,6.495522388059701,625.0,0.010392835820895521,2.85212672e-05,0.0027443199999999997,0.0007607023635983222,0.07319487930992587
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,8,1024,1,16,7,0.0480639984210332,142606336,26083328,5.467336683417085,312.5,0.01749547738693467,5.70425344e-05,0.0032604160000000004,0.0011868037673502777,0.06783488904604357
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,4,1024,1,32,7,0.0354773327708244,71303168,13041664,5.467336683417085,625.0,0.008747738693467335,1.42606336e-05,0.0016302080000000002,0.000401964648586197,0.04595069224991568
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,4,1024,1,32,7,0.0479093343019485,71303168,17170432,4.152671755725191,312.5,0.01328854961832061,2.85212672e-05,0.0021463040000000004,0.0005953175433464544,0.04479928663739978
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,2,1024,1,64,7,0.0357493336002031,35651584,8585216,4.152671755725191,625.0,0.006644274809160305,7.1303168e-06,0.0010731520000000002,0.00019945313889597907,0.030018797329243178
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,2,1024,1,64,7,0.0476853350798288,35651584,12713984,2.804123711340206,312.5,0.00897319587628866,1.42606336e-05,0.001589248,0.0002990570072775338,0.033327814459927364
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,1,1024,1,128,7,0.0355466678738594,17825792,6356992,2.804123711340206,625.0,0.00448659793814433,3.5651584e-06,0.000794624,0.00010029515038234499,0.02235438783797671
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,1,1024,1,128,7,0.04789333542188,17825792,10485760,1.7,312.5,0.0054399999999999995,7.1303168e-06,0.00131072,0.00014887910263903912,0.027367482102764545
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,128,1024,1,1,15,0.1398293375968933,4563402752,294060032,15.518609315801204,625.0,0.024829774905281925,0.0009126805504,0.036757503999999996,0.006527103439702468,0.2628740479767292
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,128,1024,1,1,15,0.0828533321619033,4563402752,302907392,15.065339679792297,312.5,0.04820908697533535,0.0018253611008,0.037863424,0.022031233423817773,0.45699337627135217
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,64,1024,1,2,15,0.0809973329305648,2281701376,151453696,15.065339679792297,625.0,0.024104543487667676,0.0004563402752,0.018931712,0.005634016068050031,0.2337325355666867
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,64,1024,1,2,15,0.059589331348737,2281701376,160301056,14.233851185609158,312.5,0.045548323793949304,0.0009126805504,0.020037632,0.01531617371335623,0.3362620715230546
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,32,1024,1,4,15,0.0827200015385945,1140850688,80150528,14.233851185609158,625.0,0.022774161896974652,0.0002281701376,0.010018816,0.00275834300478758,0.1211172124474096
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,32,1024,1,4,15,0.0909279982248942,1140850688,88997888,12.818851251840943,312.5,0.04102032400589102,0.0004563402752,0.011124736000000001,0.005018699235754907,0.12234665028570132
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,16,1024,1,8,15,0.0469600011905034,570425344,44498944,12.818851251840943,625.0,0.02051016200294551,0.0001140850688,0.005562368000000001,0.0024294094103019556,0.11844906002951432
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,16,1024,1,8,15,0.0542186647653579,570425344,53346304,10.692874692874692,312.5,0.03421719901719902,0.0002281701376,0.006668288,0.004208331920150595,0.12298879046281105
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,8,1024,1,16,15,0.0374986678361892,285212672,26673152,10.692874692874692,625.0,0.01710859950859951,5.70425344e-05,0.003334144,0.0015211882899197132,0.0889136652684575
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,8,1024,1,16,15,0.048005332549413,285212672,35520512,8.029520295202952,312.5,0.025694464944649446,0.0001140850688,0.004440064,0.002376508249006912,0.09249105805963825
