framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency,ops,mem_bytes,intensity_op,intensity_hw,rel_ratio,sol_math,sol_mem,mfu,mbu
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,64,256,1,0,1.1440693537394206,171798691840,2013265920,85.33333333333333,312.5,0.2730666666666666,0.068719476736,0.25165824,0.06006583124649619,0.21996764372496164
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,64,256,1,0,0.6804107030232748,171798691840,2684354560,64.0,312.5,0.2048,0.068719476736,0.33554432,0.10099705432418707,0.4931496793173197
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,64,512,1,0,2.451925277709961,687194767360,4026531840,170.66666666666666,312.5,0.5461333333333332,0.274877906944,0.50331648,0.11210696730559805,0.20527398798632454
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,64,512,1,0,1.490106741587321,687194767360,5368709120,128.0,312.5,0.4096,0.274877906944,0.67108864,0.18446860165949527,0.45036279702025217
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,64,1024,1,0,5.613077163696289,2748779069440,8053063680,341.3333333333333,312.5,1.0922666666666665,1.099511627776,1.00663296,0.1958839324154162,0.1793370963275905
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,64,1024,1,0,4.097034772237142,2748779069440,10737418240,256.0,312.5,0.8192,1.099511627776,1.34217728,0.268367658294397,0.32759723912890265
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,32,1,1,0,0.095141331354777,1310720,3932160,0.3333333333333333,312.5,0.0010666666666666665,5.24288e-07,0.00049152,5.510622907356191e-06,0.005166208975646429
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,32,1,1,0,0.0954186618328094,1310720,5242880,0.25,312.5,0.0008,5.24288e-07,0.00065536,5.494606504948125e-06,0.006868258131185157
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,32,16,1,0,0.1191466649373372,335544320,62914560,5.333333333333333,312.5,0.017066666666666664,0.000134217728,0.00786432,0.0011264916904773553,0.06600537248890753
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,32,16,1,0,0.1016533374786377,335544320,83886080,4.0,312.5,0.0128,0.000134217728,0.01048576,0.001320347480260603,0.1031521468953596
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,32,32,1,0,0.141375998655955,1342177280,125829120,10.666666666666666,312.5,0.03413333333333333,0.000536870912,0.01572864,0.0037974685739019967,0.11125396212603506
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,32,32,1,0,0.1096799969673156,1342177280,167772160,8.0,312.5,0.0256,0.000536870912,0.02097152,0.004894884453361048,0.19120642395941592
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,32,64,1,0,0.2021173238754272,5368709120,251658240,21.333333333333332,312.5,0.06826666666666666,0.002147483648,0.03145728,0.010624936085753729,0.15563871219365813
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,32,64,1,0,0.133701334396998,5368709120,335544320,16.0,312.5,0.0512,0.002147483648,0.04194304,0.01606179667304964,0.3137069662705008
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,32,128,1,0,0.3168266614278157,21474836480,503316480,42.666666666666664,312.5,0.1365333333333333,0.008589934592,0.06291456,0.027112410784144475,0.19857722742293316
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,32,128,1,0,0.1828479965527852,21474836480,671088640,32.0,312.5,0.1024,0.008589934592,0.08388608,0.04697855461336831,0.4587749473961749
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,32,256,1,0,0.5799520015716553,85899345920,1006632960,85.33333333333333,312.5,0.2730666666666666,0.034359738368,0.12582912,0.05924583116341693,0.2169647137332163
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,32,256,1,0,0.3480960130691528,85899345920,1342177280,64.0,312.5,0.2048,0.034359738368,0.16777216,0.09870764696513226,0.4819709324469349
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,32,512,1,0,1.2281813621520996,343597383680,2013265920,170.66666666666666,312.5,0.5461333333333332,0.137438953472,0.25165824,0.11190444482170817,0.2049031582428738
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,32,512,1,0,0.7461280028025309,343597383680,2684354560,128.0,312.5,0.4096,0.137438953472,0.33554432,0.18420291552624435,0.449714149233995
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,32,1024,1,0,2.776394526163737,1374389534720,4026531840,341.3333333333333,312.5,1.0922666666666665,0.549755813888,0.50331648,0.1980106965012718,0.18128420700189676
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,32,1024,1,0,1.889285405476888,1374389534720,5368709120,256.0,312.5,0.8192,0.549755813888,0.67108864,0.2909861116241631,0.35520765579121477
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,32,1536,1,0,4.662234624226888,3092376453120,6039797760,512.0,312.5,1.6384,1.236950581248,0.75497472,0.26531281262000334,0.16193408973388876
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,32,1536,1,0,3.767402648925781,3092376453120,8053063680,384.0,312.5,1.2288,1.236950581248,1.00663296,0.3283298061067877,0.2671954802301332
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,32,2048,1,0,6.871487935384114,5497558138880,8053063680,682.6666666666666,312.5,2.184533333333333,2.199023255552,1.00663296,0.320021409661265,0.14649417556515426
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,32,2048,1,0,6.362234751383464,5497558138880,10737418240,512.0,312.5,1.6384,2.199023255552,1.34217728,0.3456369249930339,0.21096003722719356
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,16,1,1,0,0.0563306659460067,655360,1966080,0.3333333333333333,312.5,0.0010666666666666665,2.62144e-07,0.00024576,4.653664138309082e-06,0.004362810129664764
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,16,1,1,0,0.0557813346385955,655360,2621440,0.25,312.5,0.0008,2.62144e-07,0.00032768,4.699493149427456e-06,0.00587436643678432
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,16,16,1,0,0.0632106661796569,167772160,31457280,5.333333333333333,312.5,0.017066666666666664,6.7108864e-05,0.00393216,0.0010616699373055755,0.062207222888998555
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,16,16,1,0,0.0566506683826446,167772160,41943040,4.0,312.5,0.0128,6.7108864e-05,0.00524288,0.0011846085124135861,0.09254754003231143
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,16,32,1,0,0.081695998708407,671088640,62914560,10.666666666666666,312.5,0.03413333333333333,0.000268435456,0.00786432,0.003285784619123291,0.09626322126337766
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,16,32,1,0,0.0631679991881052,671088640,83886080,8.0,312.5,0.0256,0.000268435456,0.01048576,0.0042495481802524385,0.1659979757911109
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,16,64,1,0,0.112197329600652,2684354560,125829120,21.333333333333332,312.5,0.06826666666666666,0.001073741824,0.01572864,0.009570119251695276,0.14018729372600502
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,16,64,1,0,0.0759840011596679,2684354560,167772160,16.0,312.5,0.0512,0.001073741824,0.02097152,0.014131156659461876,0.2759991535051148
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,16,128,1,0,0.171722670396169,10737418240,251658240,42.666666666666664,312.5,0.1365333333333333,0.004294967296,0.03145728,0.02501106747345234,0.18318652934657476
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,16,128,1,0,0.100543995698293,10737418240,335544320,32.0,312.5,0.1024,0.004294967296,0.04194304,0.042717292725147966,0.4171610617690231
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,16,256,1,0,0.2993706663449605,42949672960,503316480,85.33333333333333,312.5,0.2730666666666666,0.017179869184,0.06291456,0.057386615040646245,0.2101560609398666
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,16,256,1,0,0.1841173370679219,42949672960,671088640,64.0,312.5,0.2048,0.017179869184,0.08388608,0.0933093507520275,0.4556120642188843
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,16,512,1,0,0.623637318611145,171798691840,1006632960,170.66666666666666,312.5,0.5461333333333332,0.068719476736,0.12582912,0.11019141203582859,0.20176650153044787
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,16,512,1,0,0.3863199949264526,171798691840,1342177280,128.0,312.5,0.4096,0.068719476736,0.16777216,0.17788226764986054,0.4342828800045423
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,16,1024,1,0,1.3971892992655437,687194767360,2013265920,341.3333333333333,312.5,1.0922666666666665,0.274877906944,0.25165824,0.196736338510819,0.18011749741591093
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,16,1024,1,0,0.9766026337941488,687194767360,2684354560,256.0,312.5,0.8192,0.274877906944,0.33554432,0.2814634094074536,0.34358326343683304
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,16,1536,1,0,2.328298727671305,1546188226560,3019898880,512.0,312.5,1.6384,0.618475290624,0.37748736,0.26563399415786326,0.16213012338736774
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,16,1536,1,0,1.7514452934265137,1546188226560,4026531840,384.0,312.5,1.2288,0.618475290624,0.50331648,0.3531228140240794,0.287372081725325
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,16,2048,1,0,3.4096479415893555,2748779069440,4026531840,682.6666666666666,312.5,2.184533333333333,1.099511627776,0.50331648,0.32247072032412805,0.14761538100774904
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,16,2048,1,0,2.7850879033406577,2748779069440,5368709120,512.0,312.5,1.6384,1.099511627776,0.67108864,0.39478525128673947,0.2409577949748166
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,16,3072,1,0,6.157375971476237,6184752906240,6039797760,1024.0,312.5,3.2768,2.473901162496,0.75497472,0.40177848063139787,0.12261306171612484
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,16,3072,1,0,6.14192008972168,6184752906240,8053063680,768.0,312.5,2.4576,2.473901162496,1.00663296,0.4027895391599119,0.16389548305660476
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,16,4096,1,0,9.64949862162272,10995116277760,8053063680,1365.3333333333333,312.5,4.369066666666666,4.398046511104,1.00663296,0.4557797957760003,0.10431971644042974
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,16,4096,1,0,9.922229131062826,10995116277760,10737418240,1024.0,312.5,3.2768,4.398046511104,1.34217728,0.4432518593362599,0.13526973246345822
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,8,1,1,0,0.035541333258152,327680,983040,0.3333333333333333,312.5,0.0010666666666666665,1.31072e-07,0.00012288,3.687875157861064e-06,0.0034573829604947473
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,8,1,1,0,0.0359519993265469,327680,983040,0.3333333333333333,312.5,0.0010666666666666665,1.31072e-07,0.00012288,3.645749957032755e-06,0.0034178905847182077
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,8,1,1,0,0.0335253328084945,327680,1310720,0.25,312.5,0.0008,1.31072e-07,0.00016384,3.9096405320930795e-06,0.00488705066511635
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,8,1,1,0,0.0337439998984336,327680,1310720,0.25,312.5,0.0008,1.31072e-07,0.00016384,3.884305369680978e-06,0.004855381712101222
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,8,16,1,0,0.0396106665333112,83886080,15728640,5.333333333333333,312.5,0.017066666666666664,3.3554432e-05,0.00196608,0.0008471059675752207,0.04963511528761058
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,8,16,1,0,0.0403573339184125,83886080,15728640,5.333333333333333,312.5,0.017066666666666664,3.3554432e-05,0.00196608,0.0008314333168745627,0.04871679591061891
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,8,16,1,0,0.0353439996639887,83886080,20971520,4.0,312.5,0.0128,3.3554432e-05,0.00262144,0.0009493671434755005,0.07416930808402347
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,8,16,1,0,0.0358719999591509,83886080,20971520,4.0,312.5,0.0128,3.3554432e-05,0.00262144,0.0009353933998162906,0.07307760936064771
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,8,32,1,0,0.043813332915306,335544320,31457280,10.666666666666666,312.5,0.03413333333333333,0.000134217728,0.00393216,0.003063399177128376,0.08974802276743289
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,8,32,1,0,0.0442613313595453,335544320,31457280,10.666666666666666,312.5,0.03413333333333333,0.000134217728,0.00393216,0.0030323924716524576,0.08883962319294308
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,8,32,1,0,0.0359360004464785,335544320,41943040,8.0,312.5,0.0256,0.000134217728,0.00524288,0.0037349100159295126,0.1458949224972466
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,8,32,1,0,0.0382239992419878,335544320,41943040,8.0,312.5,0.0256,0.000134217728,0.00524288,0.003511347076748742,0.13716199518549774
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,8,64,1,0,0.0654186656077702,1342177280,62914560,21.333333333333332,312.5,0.06826666666666666,0.000536870912,0.00786432,0.008206693105281444,0.12021523103439614
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,8,64,1,0,0.0656160016854604,1342177280,62914560,21.333333333333332,312.5,0.06826666666666666,0.000536870912,0.00786432,0.008182011981979133,0.11985369114227244
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,8,64,1,0,0.042832002043724,1342177280,83886080,16.0,312.5,0.0512,0.000536870912,0.01048576,0.012534340828895846,0.244811344314372
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,8,64,1,0,0.0439626673857371,1342177280,83886080,16.0,312.5,0.0512,0.000536870912,0.01048576,0.012211973110944086,0.23851509982312669
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,8,128,1,0,0.0957813362280527,5368709120,125829120,42.666666666666664,312.5,0.1365333333333333,0.002147483648,0.01572864,0.022420690006734727,0.1642140381352641
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,128,8,128,1,0,0.0973759988943735,5368709120,125829120,42.666666666666664,312.5,0.1365333333333333,0.002147483648,0.01572864,0.022053521117964974,0.16152481287572001
TRTLLM,1.2.0rc6,NVIDIA GB200,mla_context,default,float16,float16,128,8,128,1,0,0.0562986681858698,5368709120,167772160,32.0,312.5,0.1024,0.002147483648,0.02097152,0.03814448400289137,0.372504726590736
