transition,operator,phase,hardware,hardware_label,engine,version,target_combination,matched_shapes,ratio_p10,ratio_p50,ratio_p90,target_faster_pct,kernel_source_changed_pct,base_kernel_sources,target_kernel_sources,small_shapes,small_ratio_p10,small_ratio_p50,small_ratio_p90,small_target_faster_pct,large_shapes,large_ratio_p10,large_ratio_p50,large_ratio_p90,large_target_faster_pct,large_minus_small_p50,size_pattern,workload_ratio_spearman
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,h200_sxm,H200 SXM,sglang,0.5.10,FP8/FP8,5627,0.7971214187589435,0.928453821148073,1.02827008299048,75.0133285942776,0.0,flash_attention:5627,flash_attention:5627,1481,0.9565923659738748,1.0018884664050742,1.038038644857884,48.61580013504389,1482,0.770737109178862,0.8195166018182356,0.9138753731682729,99.46018893387314,-0.18237186458683863,small_slower_large_faster,-0.7573899647045186
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,h200_sxm,H200 SXM,trtllm,1.3.0rc10,FP8/FP8,16848,0.8356600237174392,0.9788332466024561,1.2937289480430239,56.57051282051282,0.0,torch_flow:16848,torch_flow:16848,4350,0.9784293423820916,1.023891484006389,1.2456909739230975,27.126436781609197,4336,0.723081632034555,0.8651824073866874,0.9472644971626092,94.11900369003689,-0.15870907661970168,small_slower_large_faster,-0.5748461355878756
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,b200_sxm,B200 SXM,sglang,0.5.10,FP8/FP8,11238,0.7950290091265035,0.9480520591369176,1.0583138004644035,72.90443139348639,0.0,trtllm_mha:11238,trtllm_mha:11238,2956,0.8463200539783311,0.9903340902638762,1.0077472122173532,71.31258457374831,2813,0.7334178086978793,0.8249590310418321,0.9969189865725208,90.2950586562389,-0.1653750592220441,target_faster_both,-0.3900288101593447
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,b200_sxm,B200 SXM,trtllm,1.3.0rc10,FP8/FP8,20995,0.811842986326605,0.9199373405940702,0.9954148321081656,92.61728983091211,0.0,torch_flow:20995,torch_flow:20995,5571,0.8997722255144179,0.9797519254640232,1.0107257756248547,76.35971997845988,5229,0.7358451098684493,0.8440621747331087,0.9389896424649031,99.80875884490342,-0.1356897507309145,target_faster_both,-0.6106430293587618
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,b300_sxm,B300 SXM,sglang,0.5.10,FP8/FP8,5627,0.7609832773662316,0.8804472789694573,1.0007731822744377,89.26603874178069,0.0,trtllm_mha:5627,trtllm_mha:5627,1481,0.8142177337231037,0.896794935010583,1.0009233680481942,88.04861580013504,1482,0.6527925879531954,0.797627074072196,0.9208160889803444,98.38056680161942,-0.09916786093838703,target_faster_both,-0.4653000055049674
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,b300_sxm,B300 SXM,trtllm,1.3.0rc10,FP8/FP8,21005,0.7792929278496722,0.9016683199201111,0.9940622934546792,92.26850749821472,0.0,torch_flow:21005,torch_flow:21005,5571,0.886989915517475,0.9683809772837978,1.02437277804255,75.19296356129959,5239,0.6543659967742068,0.8302338276453237,0.9037141508785601,99.96182477572056,-0.13814714963847408,target_faster_both,-0.6729318502892165
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,gb200,GB200,sglang,0.5.10,FP8/FP8,5627,0.8744580758142356,0.9830382346235984,1.0719526507426798,66.60742846987738,0.0,trtllm_mha:5627,trtllm_mha:5627,1481,0.9180825428914361,0.9965114603668811,1.0112741712550932,64.8885887913572,1482,0.7681535725764936,0.9060118091413927,1.0001679093767535,89.94601889338732,-0.09049965122548842,target_faster_both,-0.42767016729413826
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,gb200,GB200,trtllm,1.3.0rc10,FP8/FP8,20992,0.8102033771496465,0.9205741491106173,0.9965159013591669,91.66349085365853,0.0,torch_flow:20992,torch_flow:20992,5571,0.8976397278825935,0.9778308220128852,1.0166607200351485,74.06210734159038,5226,0.6966968890362165,0.8532159595834075,0.9392247093148494,99.80864906238041,-0.12461486242947772,target_faster_both,-0.6067293766607498
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,gb300,GB300,sglang,0.5.10,FP8/FP8,5627,0.7783495373540107,0.8840292334327202,1.0015844018611388,89.17718144659676,0.0,trtllm_mha:5627,trtllm_mha:5627,1481,0.8540164759010009,0.9405443940652609,1.0024394148670095,86.96826468602296,1482,0.71317913835357,0.7974705202993502,0.8887613617373377,99.25775978407557,-0.14307387376591074,target_faster_both,-0.596821919039029
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,gb300,GB300,trtllm,1.3.0rc10,FP8/FP8,20993,0.79697553690481,0.9044551768092038,0.996134003331016,91.97827847377698,0.0,torch_flow:20993,torch_flow:20993,5571,0.8929462996168543,0.9804187975440382,1.013233124005045,74.70831089570993,5227,0.6805190776265851,0.8349689671686094,0.9026853109271419,100.0,-0.1454498303754288,target_faster_both,-0.6916165078679063
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,rtx_pro_6000_server,RTX PRO 6000,sglang,0.5.10,FP8/FP8,11174,0.6366961406284243,0.7328753652008362,0.8068016373039796,99.7941650259531,0.0,triton:11174,triton:11174,2802,0.7364273099387014,0.8004964668273883,0.9880173872756031,99.214846538187,2938,0.6328522524514045,0.7271576490441575,0.7514949609359605,100.0,-0.07333881778323081,target_faster_both,-0.5198398313508916
attention_prefill_fp8_fp8kv_vs_bf16_bf16kv,attention,prefill,rtx_pro_6000_server,RTX PRO 6000,trtllm,1.3.0rc10,FP8/FP8,21046,0.6110979216252497,1.3814212310191172,2.112536531544903,26.89822294022617,0.0,torch_flow:21046,torch_flow:21046,5571,0.8617647271743296,1.5578440820253603,2.6428180501262872,22.599174295458624,5280,0.5420623296169421,1.3813998431802732,2.1490246260315504,33.80681818181818,-0.1764442388450871,target_slower_both,-0.20580085072199802
attention_decode_fp8kv_vs_bf16kv,attention,decode,l40s,L40S,trtllm,1.0.0,BF16/FP8,10052,0.7181817911224695,1.7276097486714044,3.9796244097473124,17.23040191006765,0.0,torch_flow:10052,torch_flow:10052,2842,1.120000043655745,1.7310297376360566,2.9267053085434447,0.9500351864883884,2523,0.48759932355056856,1.0,14.345567863350523,49.90091161315894,-0.7310297376360566,target_slower_both,-0.11925771234665818
attention_decode_fp8kv_vs_bf16kv,attention,decode,l40s,L40S,vllm,0.14.0,BF16/FP8,5432,0.4844459726853669,0.8461812808591971,1.2507304529504173,73.80338733431518,100.0,vllm_flash_attn:5432,vllm_flashinfer:5432,1398,0.883175213597404,1.1319467674325547,1.370187648581934,42.41773962804006,1366,0.228503478637603,0.5128294733531698,0.9409394954368684,91.58125915080527,-0.619117294079385,small_slower_large_faster,-0.6921165512709122
attention_decode_fp8kv_vs_bf16kv,attention,decode,h100_sxm,H100 SXM,sglang,0.5.10,BF16/FP8,5093,0.6300069940207006,0.9789888613086428,1.027028838719726,74.67111721971334,0.0,flash_attention:5093,flash_attention:5093,1514,0.9580836245725398,0.98829317243019,1.0276880228555487,69.15455746367239,1534,0.568055703655702,0.7777640816311088,1.0055930394593215,87.94002607561929,-0.21052909079908122,target_faster_both,-0.47214757520707007
attention_decode_fp8kv_vs_bf16kv,attention,decode,h100_sxm,H100 SXM,trtllm,1.3.0rc10,BF16/FP8,9381,0.2882984699380621,0.5387797459007804,0.7948424914148684,98.4223430337917,0.0,torch_flow:9381,torch_flow:9381,2367,0.4966164496002652,0.6998791980165506,0.8451399305992828,97.67638360794254,2360,0.2661284634998399,0.4897669199834235,0.6724790239939492,98.98305084745763,-0.21011227803312715,target_faster_both,-0.4355385646408273
attention_decode_fp8kv_vs_bf16kv,attention,decode,h100_sxm,H100 SXM,vllm,0.19.0,BF16/FP8,22528,0.8400837446816934,0.97998399377964,1.1313847197363314,64.34215198863636,0.0,vllm_flash_attn:22528,vllm_flash_attn:22528,5772,0.947589256749492,0.9873967239206096,1.0317560457678805,64.51836451836452,6412,0.6483380579704314,0.9456850092711351,1.1590058203803042,71.06986899563319,-0.04171171464947454,target_faster_both,-0.2107664252570204
attention_decode_fp8kv_vs_bf16kv,attention,decode,h200_sxm,H200 SXM,sglang,0.5.10,BF16/FP8,5093,0.7451897403757344,0.983778597607959,1.0394239105361833,72.58982917730218,0.0,flash_attention:5093,flash_attention:5093,1514,0.9588087125891024,0.9890946001390115,1.0273630704726493,69.41875825627477,1534,0.6786617507019799,0.8897122041305983,1.0418863644774705,81.09517601043025,-0.09938239600841325,target_faster_both,-0.36022550915656876
attention_decode_fp8kv_vs_bf16kv,attention,decode,h200_sxm,H200 SXM,trtllm,1.3.0rc10,BF16/FP8,9381,0.28659218080560983,0.531719530039713,0.7821058815385162,98.61422023238461,0.0,torch_flow:9381,torch_flow:9381,2367,0.48442775670566834,0.6855305409427046,0.8288021456791242,98.2256020278834,2360,0.26400082461442914,0.4817209905259442,0.6855728097905958,98.98305084745763,-0.2038095504167604,target_faster_both,-0.4176142228487037
attention_decode_fp8kv_vs_bf16kv,attention,decode,h200_sxm,H200 SXM,vllm,0.19.0,BF16/FP8,21738,0.8831791273721907,0.9807535225553439,1.0759924313107103,63.86052074707885,0.0,vllm_flash_attn:21738,vllm_flash_attn:21738,5772,0.9490872520363689,0.9865454735867902,1.0298626349976578,66.33749133749134,5624,0.7860086799827186,0.9425736544885068,1.1102732847704935,69.86130867709815,-0.043971819098283405,target_faster_both,-0.19226521133864516
attention_decode_fp8kv_vs_bf16kv,attention,decode,b200_sxm,B200 SXM,sglang,0.5.10,BF16/FP8,9742,0.5739970189593433,0.8755388631856629,1.0019872315535439,84.77725313077397,0.0,trtllm_mha:9742,trtllm_mha:9742,2720,0.815951301697674,0.9932264603531826,1.0053566941451955,71.875,2444,0.5285289091977918,0.6257299330361168,0.9543158634285603,97.0949263502455,-0.36749652731706584,target_faster_both,-0.5710882443018581
attention_decode_fp8kv_vs_bf16kv,attention,decode,b200_sxm,B200 SXM,trtllm,1.3.0rc10,BF16/FP8,20120,0.7906678319219242,0.9056237548478758,1.2087274402616839,70.38767395626243,0.0,torch_flow:20120,torch_flow:20120,5696,0.7958927145860382,1.0193394292746714,1.2911014063503172,38.04424157303371,5432,0.7676711142917318,0.8900014343218736,0.9886389918183055,90.86892488954345,-0.12933799495279774,small_slower_large_faster,-0.2894832155717512
attention_decode_fp8kv_vs_bf16kv,attention,decode,b200_sxm,B200 SXM,vllm,0.19.0,BF16/FP8,8454,0.5429309302223871,0.8333053734554923,0.998131484777597,90.64348237520701,0.0,vllm_flashinfer:8454,vllm_flashinfer:8454,2116,0.7914793633381776,0.9636100590978296,1.0160508667746546,79.48960302457468,2148,0.47906534826052366,0.5767719734194123,0.8555464633509464,99.67411545623837,-0.38683808567841727,target_faster_both,-0.6249751094522374
attention_decode_fp8kv_vs_bf16kv,attention,decode,b300_sxm,B300 SXM,sglang,0.5.10,BF16/FP8,5093,0.5660114555048283,0.8800153452926586,1.0015365354590553,85.84331435303358,0.0,trtllm_mha:5093,trtllm_mha:5093,1514,0.8340332166840511,0.9933825293657454,1.005146479064591,73.51387054161162,1534,0.5281470972154536,0.639481742353889,0.9544272157265874,97.39243807040417,-0.35390078701185645,target_faster_both,-0.6023807689907055
