hardware,hardware_label,engine,version,operator,phase,compute_tag,kv_cache_dtype,kernel_source,rows
h100_sxm,H100 SXM,sglang,0.5.10,mla,prefill,bfloat16,bfloat16,flash_attention,1540
h100_sxm,H100 SXM,sglang,0.5.10,mla,prefill,bfloat16,fp8,flash_attention,1540
h100_sxm,H100 SXM,sglang,0.5.10,mla,decode,bfloat16,bfloat16,flash_attention,2324
h100_sxm,H100 SXM,sglang,0.5.10,mla,decode,bfloat16,fp8,flash_attention,2324
h100_sxm,H100 SXM,trtllm,1.3.0rc10,attention,prefill,bfloat16,bfloat16,torch_flow,16848
h100_sxm,H100 SXM,trtllm,1.3.0rc10,attention,prefill,bfloat16,fp8,torch_flow,16847
h100_sxm,H100 SXM,trtllm,1.3.0rc10,attention,prefill,fp8,fp8,torch_flow,16881
h100_sxm,H100 SXM,trtllm,1.3.0rc10,attention,decode,bfloat16,bfloat16,torch_flow,15057
h100_sxm,H100 SXM,trtllm,1.3.0rc10,attention,decode,bfloat16,fp8,torch_flow,9381
h100_sxm,H100 SXM,trtllm,1.3.0rc10,mla,prefill,bfloat16,bfloat16,default,880
h100_sxm,H100 SXM,trtllm,1.3.0rc10,mla,prefill,bfloat16,fp8,default,880
h100_sxm,H100 SXM,trtllm,1.3.0rc10,mla,decode,bfloat16,bfloat16,default,1448
h100_sxm,H100 SXM,trtllm,1.3.0rc10,mla,decode,bfloat16,fp8,default,1448
h100_sxm,H100 SXM,vllm,0.19.0,attention,prefill,bfloat16,bfloat16,vllm_flash_attn,21828
h100_sxm,H100 SXM,vllm,0.19.0,attention,prefill,bfloat16,fp8,vllm_flash_attn,21828
h100_sxm,H100 SXM,vllm,0.19.0,attention,decode,bfloat16,bfloat16,vllm_flash_attn,22528
h100_sxm,H100 SXM,vllm,0.19.0,attention,decode,bfloat16,fp8,vllm_flash_attn,22528
h100_sxm,H100 SXM,vllm,0.14.0,mla,prefill,bfloat16,bfloat16,vllm_flash_attn_mla,1650
h100_sxm,H100 SXM,vllm,0.14.0,mla,prefill,bfloat16,fp8,vllm_flashmla,1515
h100_sxm,H100 SXM,vllm,0.14.0,mla,decode,bfloat16,bfloat16,vllm_flash_attn_mla,2715
h100_sxm,H100 SXM,vllm,0.14.0,mla,decode,bfloat16,fp8,vllm_flashmla,2715
