hardware,hardware_label,engine,version,operator,phase,rows,dtype_combinations,kernel_sources,source_file
b200_sxm,B200 SXM,sglang,0.5.10,attention,decode,19484,bfloat16/bfloat16:9742; bfloat16/fp8:9742,trtllm_mha:19484,src/aiconfigurator/systems/data/b200_sxm/sglang/0.5.10/generation_attention_perf.txt
b200_sxm,B200 SXM,sglang,0.5.10,mla,prefill,3080,bfloat16/bfloat16:1540; bfloat16/fp8:1540,trtllm_mla:3080,src/aiconfigurator/systems/data/b200_sxm/sglang/0.5.10/context_mla_perf.txt
b200_sxm,B200 SXM,sglang,0.5.10,mla,decode,4648,bfloat16/bfloat16:2324; bfloat16/fp8:2324,trtllm_mla:4648,src/aiconfigurator/systems/data/b200_sxm/sglang/0.5.10/generation_mla_perf.txt
b200_sxm,B200 SXM,trtllm,1.3.0rc10,attention,prefill,63123,bfloat16/bfloat16:21064; bfloat16/fp8:21064; fp8/fp8:20995,torch_flow:63123,src/aiconfigurator/systems/data/b200_sxm/trtllm/1.3.0rc10/context_attention_perf.txt
b200_sxm,B200 SXM,trtllm,1.3.0rc10,attention,decode,40240,bfloat16/bfloat16:20120; bfloat16/fp8:20120,torch_flow:40240,src/aiconfigurator/systems/data/b200_sxm/trtllm/1.3.0rc10/generation_attention_perf.txt
b200_sxm,B200 SXM,trtllm,1.3.0rc10,mla,prefill,1760,bfloat16/bfloat16:880; bfloat16/fp8:880,default:1760,src/aiconfigurator/systems/data/b200_sxm/trtllm/1.3.0rc10/context_mla_perf.txt
b200_sxm,B200 SXM,trtllm,1.3.0rc10,mla,decode,2896,bfloat16/bfloat16:1448; bfloat16/fp8:1448,default:2896,src/aiconfigurator/systems/data/b200_sxm/trtllm/1.3.0rc10/generation_mla_perf.txt
b200_sxm,B200 SXM,vllm,0.19.0,attention,prefill,21816,bfloat16/bfloat16:10908; bfloat16/fp8:10908,vllm_flashinfer:21816,src/aiconfigurator/systems/data/b200_sxm/vllm/0.19.0/context_attention_perf.txt
b200_sxm,B200 SXM,vllm,0.19.0,attention,decode,16908,bfloat16/bfloat16:8454; bfloat16/fp8:8454,vllm_flashinfer:16908,src/aiconfigurator/systems/data/b200_sxm/vllm/0.19.0/generation_attention_perf.txt
b300_sxm,B300 SXM,sglang,0.5.10,attention,prefill,16881,bfloat16/bfloat16:5627; bfloat16/fp8:5627; fp8/fp8:5627,trtllm_mha:16881,src/aiconfigurator/systems/data/b300_sxm/sglang/0.5.10/context_attention_perf.txt
b300_sxm,B300 SXM,sglang,0.5.10,attention,decode,10186,bfloat16/bfloat16:5093; bfloat16/fp8:5093,trtllm_mha:10186,src/aiconfigurator/systems/data/b300_sxm/sglang/0.5.10/generation_attention_perf.txt
