hw,framework,precision,infmax_model_prefix,spec_decoding,disagg,is_multinode,isl,osl,conc,prefill_tp,prefill_ep,prefill_dp_attention,prefill_num_workers,decode_tp,decode_ep,decode_dp_attention,decode_num_workers,num_prefill_gpu,num_decode_gpu,image,date,run_url,_source_type,p99_itl,std_itl,mean_itl,p99_e2el,p99_tpot,p99_ttft,std_e2el,std_tpot,std_ttft,mean_e2el,mean_tpot,mean_ttft,median_itl,p99_intvty,std_intvty,mean_intvty,median_e2el,median_tpot,median_ttft,tput_per_gpu,median_intvty,input_tput_per_gpu,output_tput_per_gpu
gb200,dynamo-sglang,fp8,dsr1,none,True,True,8192,1024,2048,8,8,True,6,24,24,True,1,48,24,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,1.7021992369228967,0.21918070728964542,1.4033223315442247,49.13557840843216,0.029666872641539943,21.68561575518455,4.18676437985721,0.0014833001327704332,3.5835705112682357,31.360172669927444,0.028811252020788224,4.812575900726097,1.4555043252184987,33.7076311373578,674.172392968273,34.70866171586256,30.833877425873652,0.029269931255063063,3.7841302209999412,7165.510756763309,34.164753968358625,9553.043596317782,2390.4450776543617
gb200,dynamo-sglang,fp8,dsr1,none,True,True,8192,1024,4096,8,8,True,6,24,24,True,1,48,24,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,2.0888339141663184,0.27134251510234797,1.5102458052712109,81.29210966271346,0.03227892251890191,52.293714859448365,11.686985328225221,0.001889426337237298,11.174072956588205,54.45942221139099,0.031014662254680792,25.91419117778845,1.562887724954635,30.979968411721906,529.2611732417105,32.242814440098506,55.030158393550664,0.03154991116373054,26.38877507345751,8078.197644348366,31.695810324486423,10771.29191628459,2692.0091004759192
gb200,dynamo-sglang,fp8,dsr1,none,True,True,8192,1024,6144,8,8,True,6,24,24,True,1,48,24,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,3.2579550728620963,0.3894623154463264,1.522810739157798,114.21989308000079,0.03363563642719223,85.03324726671912,17.41771780250087,0.0017006106583515159,16.867694554369297,80.50562906275763,0.031274652682483445,51.71637664457193,1.5667277586180717,29.73037249241893,588.0240695241487,31.974775552346514,82.6792728882283,0.03165295850961962,53.73605717997998,8188.3798607360995,31.592623472971443,10918.215301811177,2728.708978585948
gb200,dynamo-sglang,fp8,dsr1,none,True,True,8192,1024,512,8,8,True,5,32,32,True,1,40,32,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,1.1041876322776076,0.1237679626362951,0.8252521922429946,25.944189105122366,0.01768793545569414,9.688136273147544,2.1481724188592892,0.00035607105896779724,1.713088485363459,18.355892084560402,0.016953443530596555,2.7417016301623334,0.8312539379112422,56.535710598043686,2808.428190987685,58.98506685059352,18.04848483297974,0.01689524389808296,2.374076489591971,3051.8065006117235,59.18825475573432,4882.934183431122,762.8968970874755
gb200,dynamo-sglang,fp8,dsr1,none,True,True,8192,1024,1024,8,8,True,5,32,32,True,1,40,32,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,1.072996248677373,0.127225161256615,0.9025961102553988,31.485598032088028,0.019165633181463238,14.23412322937977,2.5784347215206678,0.00040580699364111886,2.290361617346481,20.942278996462257,0.018527925681124328,3.8827718854580326,0.9219180271029472,52.1767264630311,2464.2256433962893,53.97258264149715,20.524929902050644,0.01859394096390756,3.2824997724965215,5355.176823264458,53.7809602569507,8568.192332918601,1338.90743619678
gb200,dynamo-sglang,fp8,dsr1,none,True,True,8192,1024,2048,8,8,True,5,32,32,True,1,40,32,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,1.2714502754854031,0.1502802065087206,0.9973663802715187,54.66849916487466,0.02096658494905674,35.52479939718265,7.970866372843955,0.0006115595001654345,7.8468036057739265,33.14799374957438,0.020476398288263038,14.28014004394356,1.0245010994840413,47.694939468193596,1635.1638715930135,48.836713660389904,31.889228039653972,0.020624268792152043,12.890878034057096,6558.253689221032,48.486567454964536,10492.139729138911,1640.8961393236823
gb200,dynamo-sglang,fp8,dsr1,none,True,True,8192,1024,6144,8,8,True,5,32,32,True,1,40,32,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,2.0032025735545944,0.2640047681328765,1.0076352470650074,150.94068862483374,0.022373291455881763,132.0553817964485,21.595909646003243,0.0006251937929109023,21.509669164935502,94.86343228593675,0.020694000235176927,75.81374691661931,1.0305877113714814,44.6961504064753,1599.5040439285235,48.32318491521706,96.02952728210948,0.02076228636600294,76.94628445152193,6854.276676587512,48.164252355050984,10967.219855348198,1713.097703136654
gb200,dynamo-sglang,fp8,dsr1,none,True,True,8192,1024,4,8,1,False,1,8,1,False,1,8,8,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,0.011114901769906283,0.00040734543616091634,0.009985998215164707,11.333465156252496,0.010117206078847061,1.2943438732996584,0.7118880415235156,0.00014244817786555726,0.25057473350023673,9.701287603972014,0.00998628085956999,0.5229071312351152,0.009962951764464378,98.84151733261503,7020.096816849431,100.13737987768353,9.671089819865301,0.010014092109577908,0.43144500185735524,207.365124455016,99.85927721231535,368.60036840070507,46.12988050932691
gb200,dynamo-sglang,fp8,dsr1,none,True,True,8192,1024,8,8,1,False,1,8,1,False,1,8,8,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,0.013409956712275737,0.0005046991611408901,0.011793706854986733,13.513132604919374,0.011938677219814568,2.3243532070331274,0.9191419898099428,0.00012672132930844406,0.45349640138715924,11.697556335647823,0.011792404080436811,0.7899992402584758,0.011749705765396357,83.76137335720114,7891.331360373956,84.80035056286489,11.747852107975632,0.01181549405196233,0.6818669787608087,344.9745910893033,84.63463276289484,612.3966735592603,77.55250861934633
gb200,dynamo-sglang,fp8,dsr1,none,True,True,8192,1024,16,8,1,False,1,8,1,False,1,8,8,lmsysorg/sglang:v0.5.8.post1-cu130,2026-02-09,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/21831958748/attempts/2,public_api,0.01635159063152969,0.001543314836637434,0.014297772782136616,17.562249993314033,0.014542564372182955,4.469727700497024,1.1834448053569113,0.0003286831876250234,0.8187384838508165,13.9583938811993,0.014296701308276077,0.887906279656454,0.014279883820563555,68.76366329949359,3042.4434155751374,69.94620496275738,13.872689381474629,0.014370426531967902,0.6597944975364953,570.3749077882412,69.58735690798308,1014.3627411755572,126.38707440092524
