case_id,model_key,system,mode,bottleneck,prefill_capacity_seq_s,decode_capacity_seq_s,capacity_ratio_prefill_decode,expected_request_rate,request_rate,request_rate_relative_error,ttft,tpot,tokens/s/user,tokens/s/gpu,(p)bs,(p)global_bs,(p)workers,(p)seq/s/worker,(p)parallel,(d)bs,(d)global_bs,(d)workers,(d)seq/s/worker,(d)parallel,num_total_gpus
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,prefill,4.627800000000001,7.56424,0.6117997313675929,4.627800000000001,4.628,4.321707938967411e-05,2800.611,76.086,13.143,74.045,1,8,1,5.142,tp4pp1dp8etp1ep32,40,640,1,8.222,tp2pp1dp16etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,4.5144400000000005,1.0251105341969324,4.5144400000000005,4.514,9.74650233473516e-05,2800.611,76.501,13.072,72.231,1,8,1,5.142,tp4pp1dp8etp1ep32,48,384,1,4.907,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,2.52724,1.8311675978537854,2.52724,2.527,9.496525854283564e-05,2800.611,79.719,12.544,40.436,1,8,1,5.142,tp4pp1dp8etp1ep32,56,224,1,2.747,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,prefill,4.627800000000001,7.789640000000001,0.5940967746904863,4.627800000000001,4.628,4.321707938967411e-05,2800.611,81.279,12.303,74.045,1,8,1,5.142,tp4pp1dp8etp1ep32,44,704,1,8.467,tp2pp1dp16etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,4.620240000000001,1.001636278634876,4.620240000000001,4.62,5.194535348827854e-05,2800.611,80.966,12.351,73.924,1,8,1,5.142,tp4pp1dp8etp1ep32,52,416,1,5.022,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,2.5750800000000003,1.7971480497693275,2.5750800000000003,2.575,3.106699597685509e-05,2800.611,83.82,11.93,41.201,1,8,1,5.142,tp4pp1dp8etp1ep32,60,240,1,2.799,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,prefill,4.627800000000001,4.801480000000001,0.9638278197555754,4.627800000000001,4.628,4.321707938967411e-05,2800.611,89.896,11.124,74.045,1,8,1,5.142,tp4pp1dp8etp1ep32,60,480,1,5.219,tp4pp1dp8etp1ep32,64
deepseek_v3__a100_sxm__analytical,deepseek_v3,a100_sxm,ANALYTICAL,decode,4.627800000000001,2.61832,1.7674692169024413,2.61832,2.618,0.00012221577194549178,2800.611,87.921,11.374,41.893,1,8,1,5.142,tp4pp1dp8etp1ep32,64,256,1,2.846,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,0.26404,21.484244811392212,0.26404,0.264,0.00015149219815173645,4569.196,13.645,73.287,4.225,1,16,1,6.303,tp2pp1dp16etp1ep32,1,4,1,0.287,tp8pp1dp4etp1ep32,64
deepseek_v3__a100_sxm__empirical,deepseek_v3,a100_sxm,EMPIRICAL,decode,5.6727,0.31923999999999997,17.769389800776846,0.31923999999999997,0.319,0.000751785490539915,4569.196,22.564,44.318,5.108,1,16,1,6.303,tp2pp1dp16etp1ep32,1,8,1,0.347,tp4pp1dp8etp1ep32,64
