case_id,model_key,model_path,system,mode,backend,backend_version,serving_mode,isl,osl,total_gpus,status,pareto_points,best_tokens_per_s_gpu,best_cluster_request_rate,elapsed_s,best_model,best_isl,best_osl,best_prefix,best_concurrency,best_request_rate,best_(p)bs,best_(p)global_bs,best_(p)workers,best_(d)bs,best_(d)global_bs,best_(d)workers,best_ttft,best_tpot,best_request_latency,best_seq/s,best_seq/s/gpu,best_tokens/s,best_tokens/s/gpu,best_tokens/s/user,best_(p)seq/s/worker,best_(d)seq/s/worker,best_num_total_gpus,best_(p)tp,best_(p)pp,best_(p)dp,best_(p)moe_tp,best_(p)moe_ep,best_(p)parallel,best_(p)gemm,best_(p)kvcache,best_(p)fmha,best_(p)moe,best_(p)comm,best_(p)memory,best_(p)backend,best_(p)version,best_(p)system,best_(d)tp,best_(d)pp,best_(d)dp,best_(d)moe_tp,best_(d)moe_ep,best_(d)parallel,best_(d)gemm,best_(d)kvcache,best_(d)fmha,best_(d)moe,best_(d)comm,best_(d)memory,best_(d)backend,best_(d)version,best_(d)system,best_power_w
llama31_70b__b200_sxm__empirical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,b200_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,50,1008.261,29.063,7.257786750793457,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,136,3.939,1,1,1,136,136,1,380.128,31.056,32150.416,3.939,0.985,4033.044,1008.261,32.199,4.735,4.281,4,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,b200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,176.592,sglang,0.5.10,b200_sxm,0.0
llama31_70b__b200_sxm__silicon,llama31_70b,meta-llama/Meta-Llama-3.1-70B,b200_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,44,843.034,19.759,9.775105953216553,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,768,19.759,1,1,6,128,128,6,491.891,34.061,35336.294,19.759,0.823,20232.806,843.034,29.359,3.659,3.674,24,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,b200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,170.342,sglang,0.5.10,b200_sxm,0.0
llama31_70b__b300_sxm__analytical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,b300_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,62,881.551,25.868,6.586207866668701,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,248,3.444,1,1,1,248,248,1,438.419,64.769,66697.106,3.444,0.861,3526.205,881.551,15.44,4.106,3.743,4,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,264.092,sglang,0.5.10,b300_sxm,0.0
llama31_70b__b300_sxm__empirical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,b300_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,57,1088.87,30.066,5.422438621520996,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,192,4.253,1,1,1,192,192,1,380.849,39.892,41190.365,4.253,1.063,4355.482,1088.87,25.068,4.726,4.705,4,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,220.342,sglang,0.5.10,b300_sxm,0.0
llama31_70b__b300_sxm__silicon,llama31_70b,meta-llama/Meta-Llama-3.1-70B,b300_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,53,947.144,29.598,9.176609516143799,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,1736,29.598,1,1,9,248,248,7,440.928,52.749,54403.155,29.598,0.925,30308.598,947.144,18.958,4.082,4.596,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,b300_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,264.092,sglang,0.5.10,b300_sxm,0.0
llama31_70b__h100_sxm__analytical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h100_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,26,291.338,9.007,8.09866738319397,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,108,2.276,1,1,1,108,108,1,539.588,42.673,44194.067,2.276,0.285,2330.706,291.338,23.434,3.336,2.474,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,79.725,sglang,0.5.10,h100_sxm,0.0
llama31_70b__h100_sxm__empirical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h100_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,28,371.297,9.636,4.3601579666137695,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,108,2.901,1,1,1,108,108,1,504.409,33.486,34760.587,2.901,0.363,2970.378,371.297,29.863,3.569,3.153,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,79.725,sglang,0.5.10,h100_sxm,0.0
llama31_70b__h100_sxm__silicon,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h100_sxm,SILICON,sglang,0.5.10,disagg,4096,1024,32,success,24,357.99,8.39,6.394083499908447,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,324,8.39,1,1,3,108,108,3,534.154,34.729,36061.921,8.39,0.35,8591.77,357.99,28.794,3.37,3.04,24,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,79.725,sglang,0.5.10,h100_sxm,0.0
llama31_70b__h200_sxm__analytical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h200_sxm,ANALYTICAL,sglang,0.5.10,disagg,4096,1024,32,success,47,421.747,13.18,9.38567590713501,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,792,13.18,1,1,7,88,88,9,860.364,53.257,55342.275,13.18,0.412,13495.91,421.747,18.777,2.092,1.615,32,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,71.477,sglang,0.5.10,h200_sxm,2,1,1,1,1,tp2pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,139.092,sglang,0.5.10,h200_sxm,0.0
llama31_70b__h200_sxm__empirical,llama31_70b,meta-llama/Meta-Llama-3.1-70B,h200_sxm,EMPIRICAL,sglang,0.5.10,disagg,4096,1024,32,success,43,501.481,15.671,5.025668144226074,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,792,15.671,1,1,5,264,264,3,491.546,45.45,46986.896,15.671,0.49,16047.391,501.481,22.002,3.662,5.678,32,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,h200_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,140.662,sglang,0.5.10,h200_sxm,0.0
