case_id,model_key,system,mode,bottleneck,prefill_capacity_seq_s,decode_capacity_seq_s,capacity_ratio_prefill_decode,expected_request_rate,request_rate,request_rate_relative_error,ttft,tpot,tokens/s/user,tokens/s/gpu,tokens/s/gpu_cluster,(p)bs,(p)global_bs,(p)workers,(p)seq/s/worker,(p)parallel,(d)bs,(d)global_bs,(d)workers,(d)seq/s/worker,(d)parallel,num_total_gpus
llama31_70b__b300_sxm__silicon,llama31_70b,b300_sxm,SILICON,prefill,25.7166,25.98264,0.9897608557098124,25.7166,25.717,1.5554155681507965e-05,440.928,29.909,33.435,822.931,822.931,1,1,7,4.082,tp2pp1dp1etp1ep1,96,96,9,3.138,tp2pp1dp1etp1ep1,32
llama31_70b__b300_sxm__silicon,llama31_70b,b300_sxm,SILICON,prefill,11.0214,11.6564,0.9455234892419615,11.0214,11.021,3.629302992351859e-05,440.928,24.686,40.509,705.37,705.37,1,1,3,4.082,tp2pp1dp1etp1ep1,64,64,5,2.534,tp2pp1dp1etp1ep1,16
llama31_70b__b300_sxm__silicon,llama31_70b,b300_sxm,SILICON,decode,6.318,4.911880000000001,1.2862692085311527,4.911880000000001,4.912,2.4430564264397697e-05,256.403,19.775,50.568,628.721,628.721,1,1,1,7.02,tp4pp1dp1etp1ep1,108,108,1,5.339,tp4pp1dp1etp1ep1,8
llama31_70b__b300_sxm__silicon,llama31_70b,b300_sxm,SILICON,prefill,18.954,19.1038,0.9921586281263414,18.954,18.954,0.0,256.403,16.948,59.004,606.528,606.528,1,1,3,7.02,tp4pp1dp1etp1ep1,72,72,5,4.153,tp4pp1dp1etp1ep1,32
llama31_70b__b300_sxm__silicon,llama31_70b,b300_sxm,SILICON,decode,18.954,18.216,1.0405138339920947,18.216,18.216,0.0,256.403,15.8,63.291,582.912,582.912,1,1,3,7.02,tp4pp1dp1etp1ep1,64,64,5,3.96,tp4pp1dp1etp1ep1,32
llama31_70b__b300_sxm__silicon,llama31_70b,b300_sxm,SILICON,decode,8.1927,7.44556,1.10034705247154,7.44556,7.446,5.909562208877906e-05,197.739,14.977,66.769,476.516,476.516,1,1,1,9.103,tp8pp1dp1etp1ep1,124,124,1,8.093,tp8pp1dp1etp1ep1,16
llama31_70b__b300_sxm__silicon,llama31_70b,b300_sxm,SILICON,decode,6.318,6.2845200000000006,1.0053273758377728,6.2845200000000006,6.285,7.637814821173166e-05,256.403,13.735,72.806,402.209,402.209,1,1,1,7.02,tp4pp1dp1etp1ep1,32,32,3,2.277,tp4pp1dp1etp1ep1,16
llama31_70b__b300_sxm__silicon,llama31_70b,b300_sxm,SILICON,decode,6.318,5.8125599999999995,1.0869565217391304,5.8125599999999995,5.813,7.569814333103108e-05,256.403,12.997,76.938,372.004,372.004,1,1,1,7.02,tp4pp1dp1etp1ep1,28,28,3,2.106,tp4pp1dp1etp1ep1,16
llama31_70b__b300_sxm__silicon,llama31_70b,b300_sxm,SILICON,decode,6.318,4.99284,1.2654120700843607,4.99284,4.993,3.20458897141026e-05,256.403,11.891,84.098,319.542,319.542,1,1,1,7.02,tp4pp1dp1etp1ep1,22,22,3,1.809,tp4pp1dp1etp1ep1,16
llama31_70b__b300_sxm__silicon,llama31_70b,b300_sxm,SILICON,prefill,6.318,6.771199999999999,0.9330694706994329,6.318,6.318,0.0,256.403,10.626,94.112,269.568,202.176,1,1,1,7.02,tp4pp1dp1etp1ep1,16,16,5,1.472,tp4pp1dp1etp1ep1,24
llama31_70b__b300_sxm__silicon,llama31_70b,b300_sxm,SILICON,decode,6.318,3.7996,1.662806611222234,3.7996,3.8,0.00010527423939360879,256.403,9.947,100.536,121.587,121.587,1,1,1,7.02,tp4pp1dp1etp1ep1,6,6,7,0.59,tp4pp1dp1etp1ep1,32
llama31_70b__b300_sxm__silicon,llama31_70b,b300_sxm,SILICON,decode,8.1927,3.3810000000000002,2.4231588287488908,3.3810000000000002,3.381,1.313484796953749e-16,197.739,8.776,113.941,108.192,108.192,1,1,1,9.103,tp8pp1dp1etp1ep1,11,11,3,1.225,tp8pp1dp1etp1ep1,32
