model_key,system,mode,model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,power_w,tokens/s/gpu_cluster
llama31_70b,a100_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,36,1.8,1,1,1,36,36,1,805.707,17.99,19209.477,1.8,0.112,1842.708,115.169,55.585,2.234,1.956,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,28.142,sglang,0.5.10,a100_sxm,0.0,115.169
llama31_70b,a100_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,28,1.506,1,1,1,28,28,1,805.707,16.723,17913.336,1.506,0.094,1542.185,96.387,59.799,2.234,1.637,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,26.579,sglang,0.5.10,a100_sxm,0.0,96.387
llama31_70b,a100_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,44,2.011,1,1,1,22,22,2,805.707,15.772,16940.463,2.011,0.084,2058.854,85.786,63.405,2.234,1.364,24,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,25.408,sglang,0.5.10,a100_sxm,0.0,64.3395
llama31_70b,a100_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,30,1.946,1,1,1,10,10,3,805.707,13.87,14994.717,1.946,0.061,1992.499,62.266,72.099,2.234,0.705,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,23.064,sglang,0.5.10,a100_sxm,0.0,62.266
llama31_70b,a100_sxm,EMPIRICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,12,0.836,1,1,1,4,4,3,805.707,12.919,14021.844,0.836,0.026,856.351,26.761,77.406,2.234,0.303,32,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.892,sglang,0.5.10,a100_sxm,0.0,26.761
llama31_70b,a100_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,84,1.173,1,1,1,84,84,1,1376.381,64.377,67234.052,1.173,0.147,1201.152,150.144,15.533,1.308,1.275,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,70.35,sglang,0.5.10,a100_sxm,0.0,150.144
llama31_70b,a100_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,60,1.007,1,1,1,60,60,1,1376.381,53.543,56150.87,1.007,0.126,1031.578,128.947,18.676,1.308,1.095,8,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,38.216,sglang,0.5.10,a100_sxm,4,1,1,1,1,tp4pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,60.975,sglang,0.5.10,a100_sxm,0.0,128.947
llama31_70b,a100_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,84,1.975,1,1,1,84,84,1,820.363,34.907,36530.224,1.975,0.123,2021.99,126.374,28.648,2.194,2.352,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,37.517,sglang,0.5.10,a100_sxm,0.0,126.374
llama31_70b,a100_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,60,1.856,1,1,1,60,60,1,820.363,29.078,30567.157,1.856,0.116,1900.175,118.761,34.39,2.194,2.017,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,32.829,sglang,0.5.10,a100_sxm,0.0,118.761
llama31_70b,a100_sxm,ANALYTICAL,meta-llama/Meta-Llama-3.1-70B,4096,1024,0,40,1.485,1,1,1,40,40,1,820.363,24.221,25598.446,1.485,0.093,1520.517,95.032,41.287,2.194,1.614,16,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,21.633,sglang,0.5.10,a100_sxm,8,1,1,1,1,tp8pp1dp1etp1ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,28.923,sglang,0.5.10,a100_sxm,0.0,95.032
