tag,mapping,alignment_class,step,op_name,op_category,latency_ms,step_latency_ms,step_count,weighted_latency_ms,aic_mix_step_latency_ms,aic_genonly_step_latency_ms,aic_ttft,aic_tpot,aic_request_latency,decode_batch_size,decode_prefix_len,prefill_batch_size,prefill_fresh_len,prefill_prefix_len,first_formal_prefill_req_count,first_formal_decode_req_count,first_formal_sum_prefill_fresh_tokens,first_formal_sum_decode_kv_tokens,aic_isl,aic_prefix,pct_of_weighted_total,pct_of_step
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,mix_step,context_embedding,context_other,0.04686388059701493,93.99621972131752,9.0,0.4217749253731343,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.00046448158395699413,0.0004985719716809698
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,mix_step,context_logits_gemm,context_other,0.6363647375022955,93.99621972131752,9.0,5.727282637520659,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.006307196448180402,0.006770109897919369
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,mix_step,context_mla_block,context_mla_block,39.283260664287425,93.99621972131752,9.0,353.5493459785868,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.389347849642352,0.4179238354558883
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,mix_step,context_moe,context_moe,47.7147733426094,93.99621972131752,9.0,429.4329600834846,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.47291503003991225,0.5076243862154821
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,mix_step,context_moe_post_dispatch,context_other,0.0,93.99621972131752,9.0,0.0,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.0,0.0
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,mix_step,context_moe_pre_dispatch,context_other,0.0,93.99621972131752,9.0,0.0,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.0,0.0
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,mix_step,context_p2p,context_other,0.0,93.99621972131752,9.0,0.0,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.0,0.0
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,mix_step,context_router_gemm,context_other,0.3439480727926517,93.99621972131752,9.0,3.0955326551338653,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.003408969628944096,0.003659169207148948
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,mix_step,context_shared_act_gate,context_shared_ffn,0.243585671641791,93.99621972131752,9.0,2.192271044776119,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.0024142486100609873,0.002591441149058763
agg_aic_p0_chunk_b9_isl8192_ctx8192,intended_case,strict_prefix0,mix_step,context_shared_ffn2_gemm,context_shared_ffn,1.2342857367669542,93.99621972131752,9.0,11.108571630902588,93.9962197213175,8.869891315420237,216.19130535903025,48.158965964295895,938.5757948234686,8,8192,1,8192,0,1,1,8191,8192,8192,0,0.012233365798255255,0.01313122740921281
