tag,mapping,alignment_class,step,op_category,latency_ms,step_latency_ms,step_count,weighted_latency_ms,aic_mix_step_latency_ms,aic_genonly_step_latency_ms,aic_ttft,aic_tpot,aic_request_latency,decode_batch_size,decode_prefix_len,prefill_batch_size,prefill_fresh_len,prefill_prefix_len,first_formal_prefill_req_count,first_formal_decode_req_count,first_formal_sum_prefill_fresh_tokens,first_formal_sum_decode_kv_tokens,aic_isl,aic_prefix,pct_of_step,pct_of_weighted_total
agg_aic_p0_mid_b8_isl2048_ctx8192,observed_first_batch,strict_prefix0,genonly_step,generation_mla_block,0.7486070320130367,5.053239420956612,14.0,10.480498448182514,71.15918308684681,5.053239420956611,138.76040701935128,9.460302332015958,280.6649419995906,4,2048,4,2048,0,3,1,6144,2048,2048,0,0.14814398639186593,0.049189503230590285
agg_aic_p0_mid_b8_isl2048_ctx8192,observed_first_batch,strict_prefix0,genonly_step,generation_moe,3.623041048447291,5.053239420956612,14.0,50.72257467826207,71.15918308684681,5.053239420956611,138.76040701935128,9.460302332015958,280.6649419995906,4,2048,4,2048,0,3,1,6144,2048,2048,0,0.7169739540584493,0.2380629378780076
agg_aic_p0_mid_b8_isl2048_ctx8192,observed_first_batch,strict_prefix0,genonly_step,generation_other,0.6815913404962846,5.053239420956612,14.0,9.542278766947984,71.15918308684681,5.053239420956611,138.76040701935128,9.460302332015958,280.6649419995906,4,2048,4,2048,0,3,1,6144,2048,2048,0,0.13488205954968482,0.044786033274531796
agg_aic_p0_mid_b8_isl2048_ctx8192,observed_first_batch,strict_prefix0,mix_step,attention_scaled,0.0,71.15918308684681,2.0,0.0,71.15918308684681,5.053239420956611,138.76040701935128,9.460302332015958,280.6649419995906,4,2048,4,2048,0,3,1,6144,2048,2048,0,0.0,0.0
agg_aic_p0_mid_b8_isl2048_ctx8192,observed_first_batch,strict_prefix0,mix_step,context_mla_block,26.331035789976475,71.15918308684681,2.0,52.66207157995295,71.15918308684681,5.053239420956611,138.76040701935128,9.460302332015958,280.6649419995906,4,2048,4,2048,0,3,1,6144,2048,2048,0,0.3700300459863423,0.24716583404111786
agg_aic_p0_mid_b8_isl2048_ctx8192,observed_first_batch,strict_prefix0,mix_step,context_moe,39.32051694631576,71.15918308684681,2.0,78.64103389263153,71.15918308684681,5.053239420956611,138.76040701935128,9.460302332015958,280.6649419995906,4,2048,4,2048,0,3,1,6144,2048,2048,0,0.5525712246910804,0.3690963182566365
agg_aic_p0_mid_b8_isl2048_ctx8192,observed_first_batch,strict_prefix0,mix_step,context_other,2.5602151930252393,71.15918308684681,2.0,5.1204303860504785,71.15918308684681,5.053239420956611,138.76040701935128,9.460302332015958,280.6649419995906,4,2048,4,2048,0,3,1,6144,2048,2048,0,0.03597870411048148,0.02403239008735517
agg_aic_p0_mid_b8_isl2048_ctx8192,observed_first_batch,strict_prefix0,mix_step,context_shared_ffn,2.9474151575293357,71.15918308684681,2.0,5.894830315058671,71.15918308684681,5.053239420956611,138.76040701935128,9.460302332015958,280.6649419995906,4,2048,4,2048,0,3,1,6144,2048,2048,0,0.0414200252120958,0.027666983231760738
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,intended_case,strict_prefix0,genonly_step,generation_mla_block,0.7700037075786804,10.446468458791482,14.0,10.780051906101527,52.66765168657364,10.446468458791482,102.7019207888186,13.261214007310292,301.620130898473,8,512,8,512,0,7,1,3584,512,512,0,0.07370947517968761,0.042848401055353535
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,intended_case,strict_prefix0,genonly_step,generation_moe,8.993161915938058,10.446468458791482,14.0,125.90426682313282,52.66765168657364,10.446468458791482,102.7019207888186,13.261214007310292,301.620130898473,8,512,8,512,0,7,1,3584,512,512,0,0.8608805886327681,0.5004425364932031
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,intended_case,strict_prefix0,genonly_step,generation_other,0.6833028352747442,10.446468458791482,14.0,9.56623969384642,52.66765168657364,10.446468458791482,102.7019207888186,13.261214007310292,301.620130898473,8,512,8,512,0,7,1,3584,512,512,0,0.0654099361875442,0.03802375708057313
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,intended_case,strict_prefix0,mix_step,attention_scaled,0.0,52.667651686573635,2.0,0.0,52.66765168657364,10.446468458791482,102.7019207888186,13.261214007310292,301.620130898473,8,512,8,512,0,7,1,3584,512,512,0,0.0,0.0
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,intended_case,strict_prefix0,mix_step,context_mla_block,15.123905113688574,52.667651686573635,2.0,30.247810227377148,52.66765168657364,10.446468458791482,102.7019207888186,13.261214007310292,301.620130898473,8,512,8,512,0,7,1,3584,512,512,0,0.28715738464458734,0.12022857727941946
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,intended_case,strict_prefix0,mix_step,context_moe,33.34626763343811,52.667651686573635,2.0,66.69253526687622,52.66765168657364,10.446468458791482,102.7019207888186,13.261214007310292,301.620130898473,8,512,8,512,0,7,1,3584,512,512,0,0.6331451387254265,0.26508856575133716
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,intended_case,strict_prefix0,mix_step,context_other,1.9725359890136873,52.667651686573635,2.0,3.9450719780273746,52.66765168657364,10.446468458791482,102.7019207888186,13.261214007310292,301.620130898473,8,512,8,512,0,7,1,3584,512,512,0,0.037452514510278395,0.015680817474642852
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,intended_case,strict_prefix0,mix_step,context_shared_ffn,2.2249429504332645,52.667651686573635,2.0,4.449885900866529,52.66765168657364,10.446468458791482,102.7019207888186,13.261214007310292,301.620130898473,8,512,8,512,0,7,1,3584,512,512,0,0.042244962119707734,0.017687344865470675
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,observed_first_batch,strict_prefix0,genonly_step,generation_mla_block,0.681078587833909,7.55847510900146,14.0,9.535100229674725,47.79316117499018,7.55847510900146,93.19666429123085,10.240787513400708,246.80847699224148,8,512,8,512,0,7,1,3584,512,512,0,0.09010793553091231,0.04734292329615062
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,observed_first_batch,strict_prefix0,genonly_step,generation_moe,6.1946446955204015,7.55847510900146,14.0,86.72502573728562,47.79316117499018,7.55847510900146,93.19666429123085,10.240787513400708,246.80847699224148,8,512,8,512,0,7,1,3584,512,512,0,0.8195627565331451,0.43060021839718665
agg_aic_p0_prefill_heavy_b16_isl512_ctx4096,observed_first_batch,strict_prefix0,genonly_step,generation_other,0.6827518256471492,7.55847510900146,14.0,9.558525559060088,47.79316117499018,7.55847510900146,93.19666429123085,10.240787513400708,246.80847699224148,8,512,8,512,0,7,1,3584,512,512,0,0.09032930793594247,0.04745923288341923
