framework,version,device,op_name,kernel_source,concat_dtype,num_tokens,num_heads,batch_size,isl,tp_size,qk_nope_head_dim,qk_rope_head_dim,latency
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,8192,64,1,8192,1,128,64,0.11998720169067383
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,8192,32,1,8192,2,128,64,0.06187679767608643
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,512,16,1,512,4,128,64,0.006006399914622307
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,8192,16,1,8192,4,128,64,0.03230560123920441
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,8192,8,1,8192,8,128,64,0.01491519957780838
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,8192,4,1,8192,16,128,64,0.010342399775981902
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,8192,2,1,8192,32,128,64,0.007344000041484833
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,8192,1,1,8192,64,128,64,0.010476800054311753
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,10240,64,1,10240,1,128,64,0.14900799989700317
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,1,8,1,1,8,128,64,0.004236799851059914
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,10240,16,1,10240,4,128,64,0.03940640091896057
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_concat_k,concat_and_cast_mha_k_triton,bfloat16,10240,8,1,10240,8,128,64,0.02091519981622696
