framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,160,4,0.004416000097990036
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,160,8,0.009888000041246413
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,160,4,0.00894080027937889
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,160,2,0.004467200115323066
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,160,2,0.008540800213813782
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,160,1,0.004284799844026565
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,160,1,0.008348800241947174
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,80,16,0.006137600168585777
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,192,128,0.020937600731849672
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,192,32,0.006521599739789963
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,192,64,0.008908800035715102
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,192,64,0.029552000761032104
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,192,16,0.005203200131654739
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,192,32,0.01873600035905838
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,192,8,0.004681599885225296
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,192,16,0.012761600315570831
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,192,8,0.010089600086212158
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,192,4,0.004361600056290627
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,192,2,0.004220800101757049
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,192,2,0.008291199803352356
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,192,1,0.004198399931192398
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,192,1,0.008265600353479386
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,256,128,0.026368001103401185
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,256,64,0.009971199929714203
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,256,128,0.07145280241966248
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,256,64,0.03669120073318481
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,256,32,0.007280000299215317
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,256,32,0.02213120013475418
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,256,16,0.005715199932456017
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,256,16,0.015139199793338776
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,256,8,0.004755200073122978
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,256,4,0.004444799944758415
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,256,8,0.011231999844312668
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,256,4,0.00926399976015091
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,256,2,0.004307200014591217
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,256,1,0.0041600000113248825
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,256,2,0.008604799956083297
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,96,4,0.008262400329113007
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,256,1,0.008489599823951722
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,320,128,0.029462400078773498
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,320,64,0.012620800733566284
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,320,128,0.08643199801445008
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,320,32,0.007587199658155441
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,320,64,0.0466048002243042
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,320,16,0.0060479998588562015
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,320,32,0.025494399666786193
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,320,16,0.01659200042486191
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,320,8,0.0049183998256921765
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,320,8,0.012083200365304947
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,320,4,0.004419200122356415
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,80,2,0.0039391998201608654
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,320,2,0.004262400045990944
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,320,2,0.008713600039482117
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,320,1,0.004086399823427201
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,320,1,0.008534400165081025
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,384,128,0.033913600444793704
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,384,64,0.016016000509262086
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,384,128,0.10255680084228516
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,384,64,0.055961602926254274
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,384,32,0.008857599645853042
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,fp8,384,32,0.029289600253105164
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_gen_pre,default,bfloat16,384,16,0.006486400216817856
