framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,16384,96,4,128,1,bfloat16,bfloat16,0,12.013297271728515
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,16384,96,8,128,1,bfloat16,bfloat16,0,11.9279296875
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,16384,96,8,128,1,bfloat16,fp8,0,9.798214721679688
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,1,16384,96,8,128,1,fp8,fp8,0,9.936465454101562
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,1,128,1,bfloat16,fp8,0,44.006265258789064
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,1,128,1,fp8,fp8,0,43.29148864746094
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,2,128,1,bfloat16,fp8,0,45.098175048828125
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,2,128,1,fp8,fp8,0,44.070623779296874
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,1,128,1,bfloat16,bfloat16,0,51.85269775390625
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,4,128,1,bfloat16,fp8,0,44.36692810058594
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,2,128,1,bfloat16,bfloat16,0,51.5982177734375
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,4,128,1,bfloat16,bfloat16,0,52.47163696289063
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,12288,96,96,128,1,bfloat16,fp8,0,23.07496032714844
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,12288,96,96,128,1,fp8,fp8,0,22.98826904296875
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,12288,96,96,128,1,bfloat16,bfloat16,0,28.343853759765626
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,12288,96,1,128,1,bfloat16,bfloat16,0,26.297467041015626
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,4,128,1,fp8,fp8,0,44.20624694824219
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,8,128,1,fp8,fp8,0,44.359808349609374
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,8,128,1,bfloat16,fp8,0,45.276171875
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,8,12288,96,8,128,1,bfloat16,bfloat16,0,51.728179931640625
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,12288,96,1,128,1,bfloat16,fp8,0,22.030580139160158
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,12288,96,1,128,1,fp8,fp8,0,21.81464385986328
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,12288,96,2,128,1,bfloat16,bfloat16,0,25.791439819335938
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,12288,96,2,128,1,bfloat16,fp8,0,22.445562744140624
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,12288,96,2,128,1,fp8,fp8,0,22.161341857910156
SGLang,0.5.9,NVIDIA H100 80GB HBM3,context_attention,flash_attention,4,12288,96,4,128,1,bfloat16,fp8,0,22.822154235839843
