framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,16,1,2048,4,0,0.05502399802207947
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,8,1,2048,8,0,0.037483200430870056
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,4,1,2048,16,0,0.0353408008813858
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,2,1,2048,32,0,0.03510079979896545
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,1,1,2048,64,0,0.0344976007938385
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,16,1,2048,4,0,0.058064001798629764
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,32,1,2048,2,0,0.10346720218658448
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,8,1,2048,8,0,0.04239520132541656
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,4,1,2048,16,0,0.039134401082992556
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,2,1,2048,32,0,0.03777279853820801
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,1,1,2048,64,0,0.03761279881000519
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,32,1,3072,2,0,0.16133919954299927
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,64,1,3072,1,0,0.30450561046600344
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,8,1,3072,8,0,0.050539201498031615
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,16,1,3072,4,0,0.0910863995552063
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,4,1,3072,16,0,0.04790880084037781
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,2,1,3072,32,0,0.047777599096298216
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,1,1,3072,64,0,0.046137601137161255
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,32,1,3072,2,0,0.17917280197143554
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,64,1,3072,1,0,0.3408368110656738
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,16,1,3072,4,0,0.10013920068740845
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,8,1,3072,8,0,0.060048002004623416
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,4,1,3072,16,0,0.05447520017623901
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,2,1,3072,32,0,0.05150560140609741
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,1,1,3072,64,0,0.050886398553848265
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,32,1,4096,2,0,0.27222399711608886
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,64,1,4096,1,0,0.5070511817932128
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,16,1,4096,4,0,0.15440640449523926
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,8,1,4096,8,0,0.09413920044898987
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,4,1,4096,16,0,0.05966079831123352
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,2,1,4096,32,0,0.05947999954223633
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,bfloat16,1,1,4096,64,0,0.056929600238800046
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,32,1,4096,2,0,0.27510240077972414
SGLang,0.5.9,NVIDIA H100 80GB HBM3,mla_context,flash_attention,bfloat16,fp8,64,1,4096,1,0,0.5387856006622315
