source_name,tag,num_layers,tp_size,n,k,batch_size,fresh_len,prefix_len,fresh_tokens,prefix_tokens,total_tokens,real_kernel_sum_mean_ms,real_kernel_sum_std_ms,real_gemm_only_mean_ms,real_quant_only_mean_ms,real_gpu_makespan_mean_ms,aic_old_fresh_only_ms,aic_old_query_m_tokens,aic_old_route,aic_direct_total_tokens_ms,aic_direct_query_m_tokens,aic_direct_route,aic_sglang_chunk_policy_ms,aic_sglang_query_m_tokens,aic_sglang_query_routes,aic_sglang_policy,aic_old_fresh_only_ms_vs_kernel_sum_error_pct,aic_old_fresh_only_ms_vs_gemm_only_error_pct,aic_direct_total_tokens_ms_vs_kernel_sum_error_pct,aic_direct_total_tokens_ms_vs_gemm_only_error_pct,aic_sglang_chunk_policy_ms_vs_kernel_sum_error_pct,aic_sglang_chunk_policy_ms_vs_gemm_only_error_pct
mla_aic_compare_kernel_envelope_refresh,req1_equal_prefix_regular_b1_f8192_p10500,4,1,32768,512,1,8192,10500,8192,10500,18692,0.662425,0.013395189584324662,0.650473,0.011952,0.664177,0.3102047981000414,[8192],interp_3d_no_same_nk,0.6879241729788239,[18692],interp_3d_no_same_nk,0.6879241729788239,[18692],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-53.17133289050966,-52.310887907716165,3.8493675478467555,5.7575292101015645,3.8493675478467555,5.7575292101015645
mla_aic_compare_kernel_envelope_refresh,req1_large_prefix_regular_b4_f1024_p16384,4,1,32768,512,4,1024,16384,4096,65536,69632,2.7509555,0.0990008531693036,2.7058835,0.04507200000000001,2.7525555,0.14118546091653164,[4096],interp_3d_no_same_nk,2.6939328262229365,[69632],interp_3d_no_same_nk,2.6939328262229365,[69632],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-94.8677664572716,-94.78227865624918,-2.072831558964272,-0.4416551480159291,-2.072831558964272,-0.4416551480159291
mla_aic_compare_kernel_envelope_refresh,req1_large_prefix_regular_b2_f2048_p16384,4,1,32768,512,2,2048,16384,4096,32768,36864,1.365558,0.02215653258070858,1.33987,0.025688,1.367686,0.14118546091653164,[4096],interp_3d_no_same_nk,1.4035344840654358,[36864],interp_3d_no_same_nk,1.4035344840654358,[36864],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-89.66096929485737,-89.46274930280312,2.7810231469798974,4.751541870885676,2.7810231469798974,4.751541870885676
mla_aic_compare_kernel_envelope_refresh,req1_large_prefix_regular_b2_f2048_p32000,4,1,32768,512,2,2048,32000,4096,64000,68096,2.7419960000000003,0.15342165896639248,2.695788,0.046208,2.74362,0.14118546091653164,[4096],interp_3d_no_same_nk,2.6334454039343034,[68096],interp_3d_no_same_nk,2.6334454039343034,[68096],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-94.85099683163172,-94.76273872735794,-3.95881671839408,-2.3125926840573694,-3.95881671839408,-2.3125926840573694
mla_aic_compare_kernel_envelope_refresh,req1_large_prefix_regular_b1_f4096_p32000,4,1,32768,512,1,4096,32000,4096,32000,36096,1.3725417500000001,0.05719446029282471,1.3471337500000002,0.025408,1.37447775,0.14118546091653164,[4096],interp_3d_no_same_nk,1.3732907729211195,[36096],interp_3d_no_same_nk,1.3732907729211195,[36096],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-89.7135762233439,-89.51956619626435,0.054571959003748734,1.941679727133197,0.054571959003748734,1.941679727133197
mla_aic_compare_kernel_envelope_refresh,req1_equal_prefix_regular_b1_f8192_p32000,4,1,32768,512,1,8192,32000,8192,32000,40192,1.43797775,0.09145429431244606,1.4095377500000001,0.02844,1.43944975,0.3102047981000414,[8192],interp_3d_no_same_nk,1.534590565690807,[40192],interp_3d_no_same_nk,1.534590565690807,[40192],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-78.42770528959566,-77.9924448210031,6.71865859473883,8.87190255747367,6.71865859473883,8.87190255747367
mla_aic_compare_large_prefix,req1_large_prefix_regular_b8_f256_p4096,4,1,32768,512,8,256,4096,2048,32768,34816,1.302342,0.012248005225341849,1.277822,0.02452,1.304246,0.07440256371217616,[2048],interp_3d_no_same_nk,1.3228845876805921,[34816],interp_3d_no_same_nk,1.3228845876805921,[34816],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-94.28701802505209,-94.17739217886559,1.5773573823613174,3.526515248649039,1.5773573823613174,3.526515248649039
mla_aic_compare_large_prefix,req1_large_prefix_regular_b8_f512_p4096,4,1,32768,512,8,512,4096,4096,32768,36864,1.3600777499999999,0.03549196562868133,1.3346297500000002,0.025448,1.36173375,0.14118546091653164,[4096],interp_3d_no_same_nk,1.4035344840654358,[36864],interp_3d_no_same_nk,1.4035344840654358,[36864],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-89.61930956399135,-89.42137615945308,3.1951654282584903,5.162835165740582,3.1951654282584903,5.162835165740582
mla_aic_compare_large_prefix,req1_large_prefix_regular_b4_f512_p8192,4,1,32768,512,4,512,8192,2048,32768,34816,1.3006937500000002,0.02794641208075734,1.27653375,0.024159999999999997,1.30247775,0.07440256371217616,[2048],interp_3d_no_same_nk,1.3228845876805921,[34816],interp_3d_no_same_nk,1.3228845876805921,[34816],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-94.27977848650568,-94.17151613013161,1.7060770593071528,3.630991948359541,1.7060770593071528,3.630991948359541
mla_aic_compare_large_prefix,req1_large_prefix_regular_b4_f1024_p8192,4,1,32768,512,4,1024,8192,4096,32768,36864,1.36378175,0.03835360682109961,1.33819775,0.025584,1.36526975,0.14118546091653164,[4096],interp_3d_no_same_nk,1.4035344840654358,[36864],interp_3d_no_same_nk,1.4035344840654358,[36864],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-89.64750328147947,-89.44958165439064,2.914889722306064,4.882442379344595,2.914889722306064,4.882442379344595
mla_aic_compare_large_prefix,req1_large_prefix_regular_b4_f1024_p16384,4,1,32768,512,4,1024,16384,4096,65536,69632,2.7509555,0.0990008531693036,2.7058835,0.04507200000000001,2.7525555,0.14118546091653164,[4096],interp_3d_no_same_nk,2.6939328262229365,[69632],interp_3d_no_same_nk,2.6939328262229365,[69632],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-94.8677664572716,-94.78227865624918,-2.072831558964272,-0.4416551480159291,-2.072831558964272,-0.4416551480159291
mla_aic_compare_large_prefix,req1_large_prefix_regular_b2_f2048_p16384,4,1,32768,512,2,2048,16384,4096,32768,36864,1.365558,0.02215653258070858,1.33987,0.025688,1.367686,0.14118546091653164,[4096],interp_3d_no_same_nk,1.4035344840654358,[36864],interp_3d_no_same_nk,1.4035344840654358,[36864],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-89.66096929485737,-89.46274930280312,2.7810231469798974,4.751541870885676,2.7810231469798974,4.751541870885676
mla_aic_compare_large_prefix,req1_large_prefix_regular_b2_f2048_p32000,4,1,32768,512,2,2048,32000,4096,64000,68096,2.7419960000000003,0.15342165896639248,2.695788,0.046208,2.74362,0.14118546091653164,[4096],interp_3d_no_same_nk,2.6334454039343034,[68096],interp_3d_no_same_nk,2.6334454039343034,[68096],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-94.85099683163172,-94.76273872735794,-3.95881671839408,-2.3125926840573694,-3.95881671839408,-2.3125926840573694
mla_aic_compare_large_prefix,req1_large_prefix_regular_b1_f4096_p32000,4,1,32768,512,1,4096,32000,4096,32000,36096,1.3725417500000001,0.05719446029282471,1.3471337500000002,0.025408,1.37447775,0.14118546091653164,[4096],interp_3d_no_same_nk,1.3732907729211195,[36096],interp_3d_no_same_nk,1.3732907729211195,[36096],"[""interp_3d_no_same_nk""]",mha_one_shot_total_query,-89.7135762233439,-89.51956619626435,0.054571959003748734,1.941679727133197,0.054571959003748734,1.941679727133197
