framework,version,device,op_name,kernel_source,batch_size,seq_len,hidden_size,tp_size,latency
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_scale_residual_layernorm_scale_shift_native,1,43120,5120,2,3.479091262817383
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_scale_residual_layernorm_scale_shift_native,1,43120,5120,4,3.47955207824707
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_scale_residual_layernorm_scale_shift_native,1,43120,5120,8,3.4792095184326173
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_scale_residual_layernorm_scale_shift_native,1,47190,5120,1,3.8105758666992187
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_scale_residual_layernorm_scale_shift_native,1,47190,5120,2,3.80645751953125
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_scale_residual_layernorm_scale_shift_native,1,47190,5120,4,3.8052448272705077
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_scale_residual_layernorm_scale_shift_native,1,47190,5120,8,3.806143951416016
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_scale_residual_layernorm_scale_shift_native,1,71280,5120,1,5.734169769287109
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_scale_residual_layernorm_scale_shift_native,1,71280,5120,2,5.744339370727539
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_scale_residual_layernorm_scale_shift_native,1,71280,5120,4,5.742147064208984
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_scale_residual_layernorm_scale_shift_native,1,71280,5120,8,5.742678451538086
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_scale_residual_layernorm_scale_shift_native,1,106480,5120,1,8.56475830078125
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_scale_residual_layernorm_scale_shift_native,1,106480,5120,2,8.577843475341798
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_scale_residual_layernorm_scale_shift_native,1,106480,5120,4,8.577645111083985
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual_layernorm_scale_shift,sglang_scale_residual_layernorm_scale_shift_native,1,106480,5120,8,8.577145385742188
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,19110,5120,1,0.2685823917388916
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,19110,5120,2,0.26807680130004885
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,19110,5120,4,0.23669440746307374
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,19110,5120,8,0.2369920015335083
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,31590,5120,1,0.38604159355163575
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,31590,5120,2,0.3863584041595459
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,31590,5120,4,0.38642239570617676
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,31590,5120,8,0.3863327980041504
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,43120,5120,1,0.5247039794921875
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,43120,5120,2,0.5249663829803467
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,43120,5120,4,0.5254528045654296
SGLang,0.5.10,NVIDIA H100 80GB HBM3,scale_residual,sglang_mul_add,1,43120,5120,8,0.5246240139007569
