framework,version,device,op_name,kernel_source,batch_size,seq_len,num_heads,head_dim,tp_size,sp_size,sp_algorithm,latency
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,7898,5,128,8,4,ring,0.01281919926404953
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,3949,5,128,8,8,ring,0.008822400122880936
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,19110,40,128,1,1,none,0.30510079860687256
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,19110,20,128,1,2,ulysses,0.15606720447540284
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,9555,40,128,1,2,ring,0.14394240379333495
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,19110,10,128,1,4,ulysses,0.08177279829978942
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,4778,40,128,1,4,ring,0.07399680018424988
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,19110,5,128,1,8,ulysses,0.04432959854602814
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,2389,40,128,1,8,ring,0.03977920114994049
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,19110,20,128,2,1,none,0.15622400045394896
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,19110,10,128,2,2,ulysses,0.08157439827919007
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,9555,20,128,2,2,ring,0.07485439777374267
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,19110,5,128,2,4,ulysses,0.04499520063400268
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_rope,flashinfer_rope,1,4778,20,128,2,4,ring,0.03993920087814331
