framework,version,device,op_name,kernel_source,model,task,attn_kind,backend,batch_size,q_seq_len,kv_seq_len,num_heads,head_dim,tp_size,sp_size,sp_algorithm,latency
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,13310,512,10,128,4,8,ring,0.08381440043449402
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,13310,257,10,128,4,8,ring,0.0681119978427887
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,106480,512,5,128,8,1,none,0.4304031848907471
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,106480,257,5,128,8,1,none,0.29160640239715574
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,106480,512,5,128,8,1,none,0.29164800643920896
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,106480,257,5,128,8,1,none,0.23550400733947754
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,53240,512,5,128,8,2,ring,0.2310271978378296
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,53240,257,5,128,8,2,ring,0.15819840431213378
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,53240,512,5,128,8,2,ring,0.15935360193252562
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,53240,257,5,128,8,2,ring,0.12519680261611937
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,26620,512,5,128,8,4,ring,0.12144639492034912
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,26620,257,5,128,8,4,ring,0.08412799835205079
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,26620,512,5,128,8,4,ring,0.08501759767532349
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,26620,257,5,128,8,4,ring,0.06847040057182312
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,self_attn,sdpa,1,13310,13310,5,128,8,8,ring,1.2592000007629394
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,13310,512,5,128,8,8,ring,0.061343997716903687
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,13310,257,5,128,8,8,ring,0.042182400822639465
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,self_attn,flash_attn,1,13310,13310,5,128,8,8,ring,0.5984096050262451
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,13310,512,5,128,8,8,ring,0.046115198731422426
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,13310,257,5,128,8,8,ring,0.038646399974823
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,71280,512,5,128,1,8,ulysses,0.29855999946594236
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,71280,257,5,128,1,8,ulysses,0.20135040283203126
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,71280,512,5,128,1,8,ulysses,0.2029439926147461
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,71280,257,5,128,1,8,ulysses,0.15915520191192628
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,8910,512,40,128,1,8,ring,0.30108160972595216
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,8910,257,40,128,1,8,ring,0.20398080348968506
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,8910,512,40,128,1,8,ring,0.2034208059310913
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,8910,257,40,128,1,8,ring,0.15972160100936889
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,71280,512,5,128,2,4,ulysses,0.30001280307769773
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,71280,257,5,128,2,4,ulysses,0.20186240673065187
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,71280,512,5,128,2,4,ulysses,0.20294079780578614
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,71280,257,5,128,2,4,ulysses,0.15910400152206422
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,17820,512,20,128,2,4,ring,0.30147199630737304
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,17820,257,20,128,2,4,ring,0.2044543981552124
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,17820,512,20,128,2,4,ring,0.20449600219726563
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,17820,257,20,128,2,4,ring,0.16056959629058837
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,self_attn,sdpa,1,8910,8910,20,128,2,8,ring,2.303718376159668
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,8910,512,20,128,2,8,ring,0.15854719877243043
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,8910,257,20,128,2,8,ring,0.11047040224075318
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,self_attn,flash_attn,1,8910,8910,20,128,2,8,ring,1.109337615966797
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,8910,512,20,128,2,8,ring,0.11223039627075196
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,8910,257,20,128,2,8,ring,0.08995839953422546
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,71280,512,5,128,4,2,ulysses,0.30933759212493894
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,71280,257,5,128,4,2,ulysses,0.2076319932937622
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,71280,512,5,128,4,2,ulysses,0.20984320640563964
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,71280,257,5,128,4,2,ulysses,0.16461119651794434
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,35640,512,10,128,4,2,ring,0.31064319610595703
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,35640,257,10,128,4,2,ring,0.2088927984237671
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,35640,512,10,128,4,2,ring,0.21114881038665773
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,35640,257,10,128,4,2,ring,0.1604383945465088
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,17820,512,10,128,4,4,ring,0.1599071979522705
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,17820,257,10,128,4,4,ring,0.10867199897766114
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,17820,512,10,128,4,4,ring,0.10947840213775635
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,17820,257,10,128,4,4,ring,0.08816319704055786
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,self_attn,sdpa,1,8910,8910,10,128,4,8,ring,1.2605631828308106
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,8910,512,10,128,4,8,ring,0.0898688018321991
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,8910,257,10,128,4,8,ring,0.06321600079536438
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,self_attn,flash_attn,1,8910,8910,10,128,4,8,ring,0.5993087768554688
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,8910,512,10,128,4,8,ring,0.06407999992370605
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,8910,257,10,128,4,8,ring,0.0523967981338501
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,71280,512,5,128,8,1,none,0.298636794090271
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,71280,257,5,128,8,1,none,0.20158400535583496
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,71280,512,5,128,8,1,none,0.20293118953704833
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,71280,257,5,128,8,1,none,0.15902400016784668
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_text,sdpa,1,35640,512,5,128,8,2,ring,0.15791360139846802
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,cross_attn_image,sdpa,1,35640,257,5,128,8,2,ring,0.10792640447616578
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_text,flash_attn,1,35640,512,5,128,8,2,ring,0.10871360301971436
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,flash_attn,Wan2.2-TI2V-5B,ti2v,cross_attn_image,flash_attn,1,35640,257,5,128,8,2,ring,0.0871616005897522
SGLang,0.5.10.post1,NVIDIA H100 80GB HBM3,wan_attention,sdpa,Wan2.2-TI2V-5B,ti2v,self_attn,sdpa,1,17820,17820,5,128,8,4,ring,2.486492729187012
